eps,B,size,L,on_pareto_frontier
0,(),0,0.1980155379374029,True
0,"(4,)",1,0.0422786940140325,True
0,"(5,)",1,0.11590080702866246,False
0,"(6,)",1,0.16369037090589345,False
0,"(7,)",1,0.16369037090589345,False
0,"(8,)",1,0.16369037090589345,False
0,"(4, 5)",2,8.881784197001252e-16,True
0,"(4, 6)",2,0.04048453126683338,False
0,"(4, 7)",2,0.04048453126683427,False
0,"(4, 8)",2,0.04048453126683427,False
0,"(5, 6)",2,0.10330712468149983,False
0,"(5, 7)",2,0.10330712468150072,False
0,"(5, 8)",2,0.10330712468150072,False
0,"(6, 7)",2,0.14934593469995328,False
0,"(6, 8)",2,0.14934593469995328,False
0,"(7, 8)",2,0.14934593469995328,False
0,"(4, 5, 6)",3,0.0,False
0,"(4, 5, 7)",3,8.881784197001252e-16,False
0,"(4, 5, 8)",3,8.881784197001252e-16,False
0,"(4, 6, 7)",3,0.039552090545636354,False
0,"(4, 6, 8)",3,0.039552090545636354,False
0,"(4, 7, 8)",3,0.039552090545636354,False
0,"(5, 6, 7)",3,0.09742941873781508,False
0,"(5, 6, 8)",3,0.09742941873781508,False
0,"(5, 7, 8)",3,0.09742941873781508,False
0,"(6, 7, 8)",3,0.14146573484659086,False
0,"(4, 5, 6, 7)",4,1.7763568394002505e-15,False
0,"(4, 5, 6, 8)",4,1.7763568394002505e-15,False
0,"(4, 5, 7, 8)",4,2.6645352591003757e-15,False
0,"(4, 6, 7, 8)",4,0.038980770734855064,False
0,"(5, 6, 7, 8)",4,0.09402611575146835,False
0,"(4, 5, 6, 7, 8)",5,8.881784197001252e-16,False
1,(),0,0.23611755276566537,True
1,"(4,)",1,0.06758850002493322,True
1,"(5,)",1,0.14779578205797161,False
1,"(6,)",1,0.14352000892754369,False
1,"(7,)",1,0.1895156083457472,False
1,"(8,)",1,0.1895156083457472,False
1,"(4, 5)",2,0.021019608082724517,True
1,"(4, 6)",2,0.03602280273825542,False
1,"(4, 7)",2,0.06191710560510355,False
1,"(4, 8)",2,0.06191710560510355,False
1,"(5, 6)",2,0.09125740609077582,False
1,"(5, 7)",2,0.12718970513195504,False
1,"(5, 8)",2,0.12718970513195504,False
1,"(6, 7)",2,0.13118213223374564,False
1,"(6, 8)",2,0.13118213223374564,False
1,"(7, 8)",2,0.16937385873619437,False
1,"(4, 5, 6)",3,8.881784197001252e-16,True
1,"(4, 5, 7)",3,0.019601203342345386,False
1,"(4, 5, 8)",3,0.019601203342345386,False
1,"(4, 6, 7)",3,0.03519677727441639,False
1,"(4, 6, 8)",3,0.03519677727441639,False
1,"(4, 7, 8)",3,0.05889151782819191,False
1,"(5, 6, 7)",3,0.08612563195254985,False
1,"(5, 6, 8)",3,0.08612563195254985,False
1,"(5, 7, 8)",3,0.11728057082058285,False
1,"(6, 7, 8)",3,0.12438332810105379,False
1,"(4, 5, 6, 7)",4,1.7763568394002505e-15,False
1,"(4, 5, 6, 8)",4,1.7763568394002505e-15,False
1,"(4, 5, 7, 8)",4,0.018794158822924345,False
1,"(4, 6, 7, 8)",4,0.034690572806678865,False
1,"(5, 6, 7, 8)",4,0.08315074880488371,False
1,"(4, 5, 6, 7, 8)",5,8.881784197001252e-16,False
