B,n,p,q,r,L_pop,beta,mean_raw_bias,mean_corr_bias,std_corr,rmse_corr,n_singular,R
(),30,3,5,0,0.1980155379374029,0.30736503413890226,0.3078524479023237,0.0004874137634214293,0.15465547685351066,0.15450151280787502,0,500
(),50,3,5,0,0.1980155379374029,0.16874551639334534,0.16364905750562647,-0.0050964588877188965,0.10211355169750197,0.10213861649049326,0,500
(),100,3,5,0,0.1980155379374029,0.07938656853881287,0.08308737484858386,0.00370080630977096,0.06645761775709245,0.06649419294475536,0,500
(),200,3,5,0,0.1980155379374029,0.038562874939204406,0.03687496953712405,-0.0016879054020803586,0.04308162801456253,0.04307161064653539,0,500
(),500,3,5,0,0.1980155379374029,0.015166985082281315,0.01712181794743109,0.001954832865149775,0.026183050273901654,0.02622979963577762,0,500
(),1000,3,5,0,0.1980155379374029,0.007541496557189831,0.0073380843660246775,-0.0002034121911651532,0.01802709233543554,0.018010204953683696,0,500
(),5000,3,5,0,0.1980155379374029,0.0015016519624762026,0.002127809876301845,0.0006261579138256146,0.008244821756768788,0.008260339300678432,0,500
"(4,)",30,3,4,1,0.0422786940140325,0.2507276781189818,0.24977638395842255,-0.0009512941605592101,0.11262301912227123,0.11251436134077708,0,500
"(4,)",50,3,4,1,0.0422786940140325,0.13648123587456173,0.13777161499376117,0.0012903791191994432,0.07125006269127361,0.07119047245885271,0,500
"(4,)",100,3,4,1,0.0422786940140325,0.06384183159025181,0.066857354658003,0.0030155230677511996,0.04088271272540837,0.0409529826357108,0,500
"(4,)",200,3,4,1,0.0422786940140325,0.030929204778635366,0.030642638891202223,-0.0002865658874331434,0.023214968012463262,0.02319351181576204,0,500
"(4,)",500,3,4,1,0.0422786940140325,0.012145831939542884,0.012692083014872471,0.0005462510753295874,0.01365057723909233,0.013647855973734609,0,500
"(4,)",1000,3,4,1,0.0422786940140325,0.006036227486043266,0.00622866828288917,0.00019244079684591076,0.009320604655881554,0.009313267808306014,0,500
"(4,)",5000,3,4,1,0.0422786940140325,0.001201441810364301,0.0015217731879740293,0.0003203313776097283,0.004207206388106362,0.004215186426769292,0,500
"(4, 5)",30,3,3,2,8.881784197001252e-16,0.1918664586403276,0.19909832490962287,0.0072318662692952744,0.0930861744159098,0.09327382100777996,0,500
"(4, 5)",50,3,3,2,8.881784197001252e-16,0.10350756799165861,0.09981253616121724,-0.0036950318304413655,0.04628557334593864,0.046386666743691726,0,500
"(4, 5)",100,3,3,2,8.881784197001252e-16,0.048134307732155435,0.048848626618106614,0.0007143188859511814,0.0233739731312846,0.023361510785327153,0,500
"(4, 5)",200,3,3,2,8.881784197001252e-16,0.023256486862692327,0.022438202536500012,-0.0008182843261923161,0.010185143745003683,0.010207804271177364,0,500
"(4, 5)",500,3,3,2,8.881784197001252e-16,0.009118581595214614,0.008852525934239913,-0.00026605566097470223,0.004292928351491943,0.004296878050179914,0,500
"(4, 5)",1000,3,3,2,8.881784197001252e-16,0.004529446340225007,0.00462837180698396,9.892546675895276e-05,0.002226799301532457,0.0022267698819187186,0,500
"(4, 5)",5000,3,3,2,8.881784197001252e-16,0.0009011715621305427,0.0009086706446856247,7.499082555082026e-06,0.00043592400549837104,0.0004355524254688203,0,500
