B,n,p,q,r,L_pop,beta,coverage_2sided,coverage_1sided,mean_width,n_singular,R_outer,M_boot,alpha
(),50,3,5,0,0.1980155379374029,0.16874551639334534,0.98,0.96,0.48126549019490555,0,100,300,0.05
(),200,3,5,0,0.1980155379374029,0.038562874939204406,0.97,0.96,0.18082163164133394,0,100,300,0.05
(),1000,3,5,0,0.1980155379374029,0.007541496557189831,0.93,0.92,0.07250927186758994,0,100,300,0.05
(),5000,3,5,0,0.1980155379374029,0.0015016519624762026,0.89,0.9,0.031179944963049842,0,100,300,0.05
"(4,)",50,3,4,1,0.0422786940140325,0.13648123587456173,0.94,0.94,0.3744947001338121,0,100,300,0.05
"(4,)",200,3,4,1,0.0422786940140325,0.030929204778635366,0.93,0.89,0.11033069328773237,0,100,300,0.05
"(4,)",1000,3,4,1,0.0422786940140325,0.006036227486043266,0.93,0.94,0.03844603258222999,0,100,300,0.05
"(4,)",5000,3,4,1,0.0422786940140325,0.001201441810364301,0.95,0.93,0.015875165096239888,0,100,300,0.05
"(4, 5)",50,3,3,2,8.881784197001252e-16,0.10350756799165861,1.0,0.99,0.3122629123253448,0,100,300,0.05
"(4, 5)",200,3,3,2,8.881784197001252e-16,0.023256486862692327,0.99,0.98,0.06978268422868178,0,100,300,0.05
"(4, 5)",1000,3,3,2,8.881784197001252e-16,0.004529446340225007,0.99,0.98,0.014015135951563212,0,100,300,0.05
"(4, 5)",5000,3,3,2,8.881784197001252e-16,0.0009011715621305427,0.99,0.99,0.0028380813229209483,0,100,300,0.05
