eps,n,delta,R_outer,n_eff,none_certified,too_small,too_large,tied,population_optimal,correct_size_wrong_identity
0,50,0.01,100,100,0,0,93,1,4,2
0,50,0.025,100,100,0,1,83,8,7,1
0,50,0.05,100,100,0,0,78,15,7,0
0,200,0.01,100,100,0,0,77,9,13,1
0,200,0.025,100,100,0,1,29,23,45,2
0,200,0.05,100,100,0,0,66,20,14,0
0,1000,0.01,100,100,0,0,0,6,94,0
0,1000,0.025,100,100,0,0,0,0,100,0
0,1000,0.05,100,100,0,0,73,8,19,0
1,50,0.01,100,100,0,2,90,0,3,5
1,50,0.025,100,100,0,0,93,3,3,1
1,50,0.05,100,100,0,2,74,12,0,12
1,200,0.01,100,100,0,1,68,10,21,0
1,200,0.025,100,100,0,0,71,22,6,1
1,200,0.05,100,100,0,2,23,26,0,49
1,1000,0.01,100,100,0,0,1,3,96,0
1,1000,0.025,100,100,0,0,67,16,17,0
1,1000,0.05,100,100,0,0,1,43,0,56
