eps,n,delta,n_eff,m_4_raw_count,m_5_raw_count,m_6_raw_count,m_7_raw_count,m_8_raw_count
0,50,0.01,100,99,96,85,81,87
0,50,0.025,100,99,92,70,69,63
0,50,0.05,100,99,75,52,56,46
0,200,0.01,100,100,99,50,58,53
0,200,0.025,100,100,97,27,30,31
0,200,0.05,100,100,84,7,14,13
0,1000,0.01,100,100,100,5,5,4
0,1000,0.025,100,100,100,0,0,0
0,1000,0.05,100,100,81,5,6,6
1,50,0.01,100,98,96,89,89,83
1,50,0.025,100,98,92,85,77,73
1,50,0.05,100,95,79,73,57,52
1,200,0.01,100,100,100,98,55,62
1,200,0.025,100,100,98,89,30,23
1,200,0.05,100,100,87,59,14,12
1,1000,0.01,100,100,100,100,3,4
1,1000,0.025,100,100,100,83,14,8
1,1000,0.05,100,100,97,47,1,0
