q,T,k,eta_lyapunov,eta_quadrature,eta_from_h_squared,disc_lyap_vs_quad,disc_lyap_vs_hsq
-1,0.1,1,0.008904056108469803,0.0089040561084698,0.008904056133852187,3.469446951953614e-18,2.538238369487189e-11
-1,0.1,2,0.008904056108469807,0.0089040561084698,0.008904056133852187,6.938893903907228e-18,2.538238022542494e-11
-1,0.1,3,0.008352009222259333,0.008352009222259338,0.0083520092313807,5.204170427930421e-18,9.121366856268409e-12
-1,0.1,4,9.661833458858059e-05,9.661833458858053e-05,9.66183379402571e-05,5.421010862427522e-20,3.35167652095944e-12
-1,0.1,5,2.956319385150699e-05,2.956319385150718e-05,2.9563195131847734e-05,1.8973538018496328e-19,1.2803407422809499e-12
-1,0.1,6,0.00044146926123307553,0.0004414692612330773,0.00044146927369398777,1.7889335846010823e-18,1.2460912239119909e-11
-1,0.1,7,1.304272462461658e-05,1.3042724624615956e-05,1.3042724673458804e-05,6.2341624917916505e-19,4.884222366829949e-14
-1,0.1,8,1.304272462461752e-05,1.3042724624615956e-05,1.3042724673458804e-05,1.5636228206314384e-18,4.884128346172804e-14
-1,0.5,1,0.02422640394711078,0.024226403947110852,0.024226405092559734,7.28583859910259e-17,1.1454489544371338e-09
-1,0.5,2,0.02422640394711079,0.024226403947110852,0.024226405092559737,6.245004513516506e-17,1.1454489474982399e-09
-1,0.5,3,0.014186189007304412,0.014186189007304301,0.014186190277107002,1.1102230246251565e-16,1.2698025894652964e-09
-1,0.5,4,0.002752932173603632,0.0027529321736036575,0.002752932151731575,2.5587171270657905e-17,2.1872057116845145e-11
-1,0.5,5,0.0013733457077814357,0.0013733457077814456,0.001373345706577558,9.974659986866641e-18,1.2038777093270614e-12
-1,0.5,6,0.007162397196455639,0.007162397196455788,0.007162397102795595,1.491862189340054e-16,9.366004413008389e-11
-1,0.5,7,0.00011818908699868532,0.00011818908699869468,0.00011818910051621562,9.364796264843545e-18,1.3517530302563363e-11
-1,0.5,8,0.0001181890869986877,0.00011818908699869468,0.00011818910051621562,6.979551485375435e-18,1.3517527917318584e-11
-1,1.0,1,0.028640445344677454,0.028640445344678418,0.028640450392448044,9.645062526431047e-16,5.047770590405065e-09
-1,1.0,2,0.02864044534467746,0.028640445344678418,0.028640450392448048,9.575673587391975e-16,5.047770586935618e-09
-1,1.0,3,0.014210130491794863,0.014210130491793455,0.01421013563940139,1.4085954624931674e-15,5.147606526798021e-09
-1,1.0,4,0.005083082237973416,0.0050830822379737605,0.005083082183078338,3.443426099813962e-16,5.489507806655247e-11
