B,n,L_pop,delta,margin,cert_prob,n_eff
(),200,0.1980155379374029,0.005,-0.1930155379374029,0.0,2000
(),200,0.1980155379374029,0.01,-0.1880155379374029,0.0,2000
(),200,0.1980155379374029,0.015,-0.18301553793740288,0.0,2000
(),200,0.1980155379374029,0.02,-0.1780155379374029,0.0,2000
(),200,0.1980155379374029,0.025,-0.1730155379374029,0.0,2000
(),200,0.1980155379374029,0.03,-0.1680155379374029,0.0,2000
(),200,0.1980155379374029,0.04,-0.1580155379374029,0.0,2000
(),200,0.1980155379374029,0.05,-0.1480155379374029,0.0,2000
(),200,0.1980155379374029,0.075,-0.1230155379374029,0.0,2000
(),200,0.1980155379374029,0.1,-0.09801553793740289,0.0,2000
(),200,0.1980155379374029,0.15,-0.0480155379374029,0.0035,2000
(),200,0.1980155379374029,0.2,0.0019844620625971143,0.067,2000
(),200,0.1980155379374029,0.25,0.0519844620625971,0.3255,2000
(),1000,0.1980155379374029,0.005,-0.1930155379374029,0.0,2000
(),1000,0.1980155379374029,0.01,-0.1880155379374029,0.0,2000
(),1000,0.1980155379374029,0.015,-0.18301553793740288,0.0,2000
(),1000,0.1980155379374029,0.02,-0.1780155379374029,0.0,2000
(),1000,0.1980155379374029,0.025,-0.1730155379374029,0.0,2000
(),1000,0.1980155379374029,0.03,-0.1680155379374029,0.0,2000
(),1000,0.1980155379374029,0.04,-0.1580155379374029,0.0,2000
(),1000,0.1980155379374029,0.05,-0.1480155379374029,0.0,2000
(),1000,0.1980155379374029,0.075,-0.1230155379374029,0.0,2000
(),1000,0.1980155379374029,0.1,-0.09801553793740289,0.0,2000
(),1000,0.1980155379374029,0.15,-0.0480155379374029,0.0,2000
(),1000,0.1980155379374029,0.2,0.0019844620625971143,0.0665,2000
(),1000,0.1980155379374029,0.25,0.0519844620625971,0.865,2000
(),5000,0.1980155379374029,0.005,-0.1930155379374029,0.0,2000
(),5000,0.1980155379374029,0.01,-0.1880155379374029,0.0,2000
(),5000,0.1980155379374029,0.015,-0.18301553793740288,0.0,2000
(),5000,0.1980155379374029,0.02,-0.1780155379374029,0.0,2000
(),5000,0.1980155379374029,0.025,-0.1730155379374029,0.0,2000
(),5000,0.1980155379374029,0.03,-0.1680155379374029,0.0,2000
(),5000,0.1980155379374029,0.04,-0.1580155379374029,0.0,2000
(),5000,0.1980155379374029,0.05,-0.1480155379374029,0.0,2000
(),5000,0.1980155379374029,0.075,-0.1230155379374029,0.0,2000
(),5000,0.1980155379374029,0.1,-0.09801553793740289,0.0,2000
(),5000,0.1980155379374029,0.15,-0.0480155379374029,0.0,2000
(),5000,0.1980155379374029,0.2,0.0019844620625971143,0.0875,2000
(),5000,0.1980155379374029,0.25,0.0519844620625971,1.0,2000
"(4,)",200,0.0422786940140325,0.005,-0.037278694014032505,0.0,2000
"(4,)",200,0.0422786940140325,0.01,-0.0322786940140325,0.0,2000
"(4,)",200,0.0422786940140325,0.015,-0.027278694014032503,0.001,2000
"(4,)",200,0.0422786940140325,0.02,-0.022278694014032503,0.003,2000
"(4,)",200,0.0422786940140325,0.025,-0.0172786940140325,0.0095,2000
"(4,)",200,0.0422786940140325,0.03,-0.012278694014032504,0.0165,2000
"(4,)",200,0.0422786940140325,0.04,-0.002278694014032502,0.0475,2000
