k,q,T,lam,D,D_T,D_max,ratio_DT_over_Dmax
4,-2.0,0.1,0.0,109.115907481459,1299.9352087391503,1633.1367688478479,0.7959744912584596
4,-2.0,0.1,0.0001,109.11589333273186,1299.9346583268748,1633.1363379576223,0.7959743642423357
4,-2.0,0.1,0.00017782794100389227,109.11588232108208,1299.9342299529594,1633.1360026049788,0.7959742653884694
4,-2.0,0.1,0.00031622776601683794,109.11586273931525,1299.9334681852918,1633.1354062548946,0.7959740895987912
4,-2.0,0.1,0.0005623413251903491,109.11582791752856,1299.9321135520277,1633.1343457794283,0.7959737769960519
4,-2.0,0.1,0.001,109.11576599487222,1299.9297046435213,1633.1324599629065,0.7959732211023757
4,-2.0,0.1,0.0017782794100389228,109.11565587975225,1299.9254209563637,1633.1291064707168,0.7959722325723378
4,-2.0,0.1,0.0031622776601683794,109.11546006640748,1299.9178034432744,1633.1231430772448,0.79597047470277
4,-2.0,0.1,0.005623413251903491,109.1151118622279,1299.9042576282736,1633.1125386633248,0.7959673487610495
4,-2.0,0.1,0.01,109.11449267896452,1299.880170180244,1633.0936815772548,0.7959617900944969
4,-2.0,0.1,0.01778279410038923,109.1133916647078,1299.8373384840327,1633.0601500691484,0.7959519056471949
4,-2.0,0.1,0.03162277660168379,109.11143396427677,1299.7611797178722,1633.0005269264602,0.7959343296503449
4,-2.0,0.1,0.05623413251903491,109.10795329159296,1299.625773310277,1632.8945169116464,0.7959030787661087
4,-2.0,0.1,0.1,109.10176578728705,1299.3850624110523,1632.7060539363795,0.7958475190793189
4,-2.0,0.1,0.1778279410038923,109.09076932547936,1298.957262496899,1632.3710798754018,0.7957487598935211
4,-2.0,0.1,0.31622776601683794,109.07123554643196,1298.1973085339907,1631.7759260511527,0.7955732694718619
4,-2.0,0.1,0.5623413251903491,109.03656530155554,1296.8484030820384,1630.7367481782169,0.7952530686089077
4,-2.0,0.1,1.0,108.9751206849175,1294.4575645807172,1628.8977737096218,0.7946831197594084
4,-2.0,0.1,1.7782794100389228,108.86651066865349,1290.2307795731517,1625.643517371744,0.793673868708393
4,-2.0,0.1,3.1622776601683795,108.67542019296239,1282.7918703697148,1619.9064687317718,0.7918925537559062
4,-2.0,0.1,5.623413251903491,108.34194851679719,1269.803468346484,1610.0348800398456,0.7886807199574822
4,-2.0,0.1,10.0,107.7682511816449,1247.438494469555,1593.2857296394652,0.7829345805738374
4,-2.0,0.1,17.78279410038923,106.80521986013777,1209.8397071519041,1565.9936591577894,0.7725699909938146
4,-2.0,0.1,31.622776601683793,105.25399892737538,1149.1343507336844,1524.3256202434393,0.7538640927324729
4,-2.0,0.1,56.23413251903491,102.9163091961328,1057.3508157495492,1467.752495332085,0.7203876805607605
4,-2.0,0.1,100.0,99.7302984658223,931.842682840166,1404.3586658832671,0.663536107604026
4,-2.0,0.1,177.82794100389228,95.94251144373392,782.6935377468099,1351.3883750070474,0.5791773499181745
4,-2.0,0.1,316.22776601683796,92.09863767857448,633.4999163724959,1322.2694685872027,0.4791004643322573
4,-2.0,0.1,562.341325190349,88.72525756550164,508.48584416843596,1314.678214296924,0.38677589591029227
4,-2.0,0.1,1000.0,86.03495195603952,417.5801713308915,1318.0613480779057,0.3168139115374544
4,-2.0,0.1,1778.2794100389228,83.9749354472701,356.24795825552843,1325.2016818845843,0.26882546492765097
4,-2.0,0.1,3162.2776601683795,82.41468778763367,315.3301208656885,1333.663353827676,0.23643906834560338
4,-2.0,0.1,5623.413251903491,81.23681155318351,287.51261991005157,1342.7210074272102,0.21412685011978397
4,-2.0,0.1,10000.0,80.3495815309075,268.178235553664,1351.7617769077372,0.1983916398103393
4,-2.0,0.1,17782.794100389227,79.68240316739553,254.49481351902233,1360.544509054217,0.18705364787803558
4,-2.0,0.1,31622.776601683792,79.1812591176116,244.6741887140724,1368.6043956483436,0.17877641595485586
4,-2.0,0.1,56234.13251903491,78.8050894915979,237.54993456749514,1376.1189396595657,0.1726231125241703
4,-2.0,0.1,100000.0,78.52284418026196,232.3393975958551,1382.5801142529756,0.1680476922824764
4,-2.0,0.1,177827.94100389228,78.31112223831225,228.5050164168672,1388.504538659093,0.1645691533983311
4,-2.0,0.1,316227.7660168379,78.15232414341186,225.66978051094634,1393.3141962785232,0.16196618186601394
4,-2.0,0.1,562341.3251903491,78.0332298846873,223.56648513017404,1397.7071042095013,0.15995231365488133
4,-2.0,0.1,1000000.0,77.94391612938276,222.00169458913996,1401.2735543400745,0.1584285194718393
4,-2.0,1.0,0.0,9.03491875204555,5.963626853612772,18.76524421124425,0.31780171824459014
4,-2.0,1.0,0.0001,9.03491529075837,5.963635826480284,18.765269907946788,0.3178017612181949
4,-2.0,1.0,0.00017782794100389227,9.034912596960256,5.963642809766973,18.76528990691516,0.31780179466181985
4,-2.0,1.0,0.00031622776601683794,9.034907806743139,5.9636552277588475,18.765325470146518,0.3178018541296467
4,-2.0,1.0,0.0005623413251903491,9.03489928874207,5.963677309649612,18.76538870985479,0.3178019598665569
4,-2.0,1.0,0.001,9.034884142441939,5.963716574991334,18.765501162491326,0.31780214785372596
4,-2.0,1.0,0.0017782794100389228,9.034857211521363,5.963786392056499,18.765701118152815,0.31780248201264855
4,-2.0,1.0,0.0031622776601683794,9.034809331673396,5.963910522013968,18.766056642872766,0.31780307581449324
4,-2.0,1.0,0.005623413251903491,9.0347242222319,5.964131182969195,18.766688699777724,0.3178041304132591
4,-2.0,1.0,0.01,9.034572982262736,5.9645233371074555,18.767812150881017,0.3178060015283914
4,-2.0,1.0,0.01778279410038923,9.034304377631576,5.96521993007423,18.769808309742146,0.3178093154514575
4,-2.0,1.0,0.03162277660168379,9.033827803201968,5.966456247127501,18.77335282649877,0.3178151661170396
4,-2.0,1.0,0.05623413251903491,9.032983719392067,5.9686471373169745,18.779639542544967,0.3178254366275296
4,-2.0,1.0,0.1,9.031493363782454,5.972519175305186,18.790767446235755,0.31784328087683433
4,-2.0,1.0,0.1778279410038923,9.028876330682943,5.979329706965009,18.810394391999715,0.31787370229239265
4,-2.0,1.0,0.31622776601683794,9.024324996240676,5.99120780253096,18.84479502496519,0.31792374470478096
4,-2.0,1.0,0.5623413251903491,9.016541476706978,6.011617382794545,18.904433773557663,0.31800039370675137
4,-2.0,1.0,1.0,9.003607778767622,6.045781606722637,19.00683255953718,0.3180846460232011
4,-2.0,1.0,1.7782794100389228,8.983122289675226,6.100433478161834,19.18144017637693,0.3180383444656505
4,-2.0,1.0,3.1622776601683795,8.953064278838077,6.181306369506738,19.460427722110744,0.31763466136376844
4,-2.0,1.0,5.623413251903491,8.913705110722953,6.286048729156362,19.881841982852652,0.3161703394774913
4,-2.0,1.0,10.0,8.869480732613647,6.393017387078314,20.46026318531834,0.3124601736142743
4,-2.0,1.0,17.78279410038923,8.827925749740078,6.456177185843363,21.164178233009103,0.3050521080839258
4,-2.0,1.0,31.622776601683793,8.795070839079969,6.422497196111568,21.911326585249896,0.2931131153161223
4,-2.0,1.0,56.23413251903491,8.77221297079724,6.267150840462556,22.601559318652484,0.2772884274090964
