S,size,q,T,lam,E,D,y_T
"(4,)",1,-1,0.1,0.0,10350.002452588318,80.68142015871446,1.0
"(4,)",1,-1,0.1,0.0001,10350.002452588684,80.68141647347683,1.0
"(4,)",1,-1,0.1,0.00017782794100389227,10350.00245258948,80.68141360533552,1.0
"(4,)",1,-1,0.1,0.00031622776601683794,10350.002452591994,80.68140850498405,0.9999999999999999
"(4,)",1,-1,0.1,0.0005623413251903491,10350.002452599956,80.68139943514753,1.0
"(4,)",1,-1,0.1,0.001,10350.00245262514,80.68138330648627,1.0000000000000002
"(4,)",1,-1,0.1,0.0017782794100389228,10350.002452704779,80.6813546253553,1.0
"(4,)",1,-1,0.1,0.0031622776601683794,10350.002452956704,80.68130362271904,1.0
"(4,)",1,-1,0.1,0.005623413251903491,10350.002453753417,80.68121292713671,1.0
"(4,)",1,-1,0.1,0.01,10350.002456272929,80.68105164933598,1.0
"(4,)",1,-1,0.1,0.01778279410038923,10350.002464240199,80.6807648658965,1.0
"(4,)",1,-1,0.1,0.03162277660168379,10350.002489433247,80.68025492766326,1.0
"(4,)",1,-1,0.1,0.05623413251903491,10350.002569089262,80.67934825049079,1.0
"(4,)",1,-1,0.1,0.1,10350.002820917427,80.67773635349943,1.0
"(4,)",1,-1,0.1,0.1778279410038923,10350.003616884349,80.67487130398229,0.9999999999999998
"(4,)",1,-1,0.1,0.31622776601683794,10350.006131786806,80.66978072180937,1.0
"(4,)",1,-1,0.1,0.5623413251903491,10350.014072441469,80.66074174320663,0.9999999999999999
"(4,)",1,-1,0.1,1.0,10350.039114796242,80.64471046483561,0.9999999999999999
"(4,)",1,-1,0.1,1.7782794100389228,10350.11792435325,80.61633617090021,0.9999999999999999
"(4,)",1,-1,0.1,3.1622776601683795,10350.36501963731,80.56629762479928,0.9999999999999999
"(4,)",1,-1,0.1,5.623413251903491,10351.1346834447,80.47861637673661,1.0
"(4,)",1,-1,0.1,10.0,10353.504748310494,80.32668265296145,1.0
"(4,)",1,-1,0.1,17.78279410038923,10360.6602294549,80.06844016937173,1.0
"(4,)",1,-1,0.1,31.622776601683793,10381.556327743716,79.64354558450367,1.0
"(4,)",1,-1,0.1,56.23413251903491,10439.377821464384,78.98037353059445,1.0
"(4,)",1,-1,0.1,100.0,10586.809922177028,78.02519457345932,1.0
"(4,)",1,-1,0.1,177.82794100389228,10922.827738892667,76.7937214636763,1.0
"(4,)",1,-1,0.1,316.22776601683796,11593.289124502784,75.40287427618341,1.0
"(4,)",1,-1,0.1,562.341325190349,12767.119013269625,74.02547232455325,1.0000000000000002
"(4,)",1,-1,0.1,1000.0,14615.965859018928,72.80016556879552,1.0
"(4,)",1,-1,0.1,1778.2794100389228,17322.428062533014,71.7886623199621,1.0
"(4,)",1,-1,0.1,3162.2776601683795,21111.07755319624,70.99113779145104,1.0
"(4,)",1,-1,0.1,5623.413251903491,26288.496864460743,70.3777648518267,0.9999999999999999
"(4,)",1,-1,0.1,10000.0,33279.566034664276,69.91182728764181,1.0
"(4,)",1,-1,0.1,17782.794100389227,42663.59482531864,69.56005564767838,1.0
"(4,)",1,-1,0.1,31622.776601683792,55221.30554532126,69.295310792851,1.0
"(4,)",1,-1,0.1,56234.13251903491,71999.097073986,69.09639180952416,0.9999999999999999
"(4,)",1,-1,0.1,100000.0,94395.88756231044,68.9470639985291,1.0
"(4,)",1,-1,0.1,177827.94100389228,124279.56550951669,68.83501787764364,1.0
"(4,)",1,-1,0.1,316227.7660168379,164142.6404043383,68.75096763445936,1.0000000000000002
"(4,)",1,-1,0.1,562341.3251903491,217310.03504010188,68.68792727877735,1.0
"(4,)",1,-1,0.1,1000000.0,288216.02597351465,68.64064863910365,1.0
"(4,)",1,-1,1,0.0,196.73102916294962,11.186426301719456,0.9999999999999999
"(4,)",1,-1,1,0.0001,196.73102916322833,11.186423515158133,1.0
"(4,)",1,-1,1,0.00017782794100389227,196.7310291638307,11.18642134646967,1.0
"(4,)",1,-1,1,0.00031622776601683794,196.73102916573603,11.186417490010758,0.9999999999999999
"(4,)",1,-1,1,0.0005623413251903491,196.73102917176087,11.186410632386853,1.0
"(4,)",1,-1,1,0.001,196.7310291908122,11.186398438366604,1.0
"(4,)",1,-1,1,0.0017782794100389228,196.73102925105024,11.186376756366553,1.0
"(4,)",1,-1,1,0.0031622776601683794,196.7310294415017,11.186338207221109,0.9999999999999998
"(4,)",1,-1,1,0.005623413251903491,196.73103004354968,11.186269679804795,1.0
"(4,)",1,-1,1,0.01,196.73103194619014,11.18614789391448,0.9999999999999999
"(4,)",1,-1,1,0.01778279410038923,196.7310379561159,11.185931561448596,1.0
