S,eta_sum,eta_direct,disc_eta,disc_W,E_star
"(4,)",0.004720159840492554,0.004720159840492554,0.0,0.0,211.85723233805763
"(5,)",0.002972162027884059,0.002972162027884059,0.0,0.0,336.4554121270164
"(6,)",0.0007142246110927717,0.0007142246110927717,0.0,0.0,1400.1197725040429
"(7,)",0.0007142246110927719,0.0007142246110927719,0.0,0.0,1400.1197725040424
"(8,)",0.0007142246110927725,0.0007142246110927725,0.0,0.0,1400.1197725040413
"(4, 5)",0.007692321868376613,0.007692321868376616,2.6020852139652106e-18,2.7755575615628914e-17,129.99976042487674
"(4, 6)",0.005434384451585325,0.005434384451585325,0.0,2.7755575615628914e-17,184.01348099475715
"(4, 7)",0.005434384451585326,0.005434384451585326,0.0,2.7755575615628914e-17,184.01348099475712
"(4, 8)",0.005434384451585326,0.005434384451585325,8.673617379884035e-19,2.7755575615628914e-17,184.01348099475712
"(5, 6)",0.003686386638976831,0.0036863866389768318,8.673617379884035e-19,2.7755575615628914e-17,271.2683442986744
"(5, 7)",0.0036863866389768313,0.003686386638976832,8.673617379884035e-19,2.7755575615628914e-17,271.2683442986743
"(5, 8)",0.0036863866389768318,0.00368638663897683,1.734723475976807e-18,2.7755575615628914e-17,271.2683442986743
"(6, 7)",0.0014284492221855437,0.0014284492221855439,2.168404344971009e-19,2.7755575615628914e-17,700.0598862520213
"(6, 8)",0.0014284492221855443,0.0014284492221855428,1.5178830414797062e-18,2.7755575615628914e-17,700.059886252021
"(7, 8)",0.0014284492221855443,0.001428449222185543,1.3010426069826053e-18,2.0816681711721685e-17,700.059886252021
"(4, 5, 6)",0.008406546479469385,0.008406546479469385,0.0,2.7755575615628914e-17,118.95491239383705
"(4, 5, 7)",0.008406546479469385,0.008406546479469385,0.0,2.7755575615628914e-17,118.95491239383705
"(4, 5, 8)",0.008406546479469385,0.008406546479469385,0.0,4.163336342344337e-17,118.95491239383705
"(4, 6, 7)",0.006148609062678097,0.006148609062678092,5.204170427930421e-18,2.7755575615628914e-17,162.6384097291166
"(4, 6, 8)",0.006148609062678098,0.006148609062678093,5.204170427930421e-18,2.7755575615628914e-17,162.63840972911657
"(4, 7, 8)",0.006148609062678098,0.006148609062678093,5.204170427930421e-18,2.7755575615628914e-17,162.63840972911657
"(5, 6, 7)",0.004400611250069603,0.004400611250069598,4.336808689942018e-18,2.7755575615628914e-17,227.24115882405732
"(5, 6, 8)",0.0044006112500696035,0.004400611250069599,4.336808689942018e-18,2.7755575615628914e-17,227.24115882405727
"(5, 7, 8)",0.0044006112500696035,0.004400611250069599,4.336808689942018e-18,2.7755575615628914e-17,227.24115882405727
"(6, 7, 8)",0.002142673833278316,0.002142673833278308,8.239936510889834e-18,4.163336342344337e-17,466.70659083468075
