t,phase,Kdelta,families,m_4,m_5,m_6,m_7,m_8
0.0,control,2,"[[4, 5]]",1.0,1.0,0.0,0.0,0.0
0.03389830508474576,control,2,"[[4, 5]]",1.0,1.0,0.0,0.0,0.0
0.06779661016949153,control,2,"[[4, 5]]",1.0,1.0,0.0,0.0,0.0
0.1016949152542373,control,2,"[[4, 5]]",1.0,1.0,0.0,0.0,0.0
0.13559322033898305,control,2,"[[4, 5]]",1.0,1.0,0.0,0.0,0.0
0.1694915254237288,control,2,"[[4, 5]]",1.0,1.0,0.0,0.0,0.0
0.2033898305084746,control,2,"[[4, 5]]",1.0,1.0,0.0,0.0,0.0
0.23728813559322035,control,2,"[[4, 5]]",1.0,1.0,0.0,0.0,0.0
0.2711864406779661,control,2,"[[4, 5]]",1.0,1.0,0.0,0.0,0.0
0.3050847457627119,control,2,"[[4, 5]]",1.0,1.0,0.0,0.0,0.0
0.3389830508474576,control,2,"[[4, 5]]",1.0,1.0,0.0,0.0,0.0
0.3728813559322034,control,2,"[[4, 5]]",1.0,1.0,0.0,0.0,0.0
0.4067796610169492,control,2,"[[4, 5]]",1.0,1.0,0.0,0.0,0.0
0.4406779661016949,control,2,"[[4, 5]]",1.0,1.0,0.0,0.0,0.0
0.4745762711864407,control,2,"[[4, 5]]",1.0,1.0,0.0,0.0,0.0
0.5084745762711864,control,2,"[[4, 5]]",1.0,1.0,0.0,0.0,0.0
0.5423728813559322,control,2,"[[4, 5]]",1.0,1.0,0.0,0.0,0.0
0.576271186440678,control,2,"[[4, 5]]",1.0,1.0,0.0,0.0,0.0
0.6101694915254238,control,2,"[[4, 5]]",1.0,1.0,0.0,0.0,0.0
0.6440677966101694,control,2,"[[4, 5]]",1.0,1.0,0.0,0.0,0.0
0.6779661016949152,control,2,"[[4, 5]]",1.0,1.0,0.0,0.0,0.0
0.711864406779661,control,2,"[[4, 5]]",1.0,1.0,0.0,0.0,0.0
0.7457627118644068,control,2,"[[4, 5]]",1.0,1.0,0.0,0.0,0.0
