z,Lambda1,B1,Lambda2,B2,Lambda3,B3,Kdelta_0.01,Bdelta_0.01
-1.0,0.042278694014031615,"[(4,)]",8.881784197001252e-16,"[(4, 5)]",4.440892098500626e-16,"[(4, 5), (4, 5, 6), (4, 5, 7)]",2,"[(4, 5)]"
-0.975,0.04269527826384856,"[(4,)]",2.3675870572503754e-05,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",2,"[(4, 5)]"
-0.95,0.043151474897833886,"[(4,)]",9.396856108079277e-05,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",2,"[(4, 5)]"
-0.925,0.04364637041360098,"[(4,)]",0.00020981094011229828,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",2,"[(4, 5)]"
-0.9,0.04417909319333191,"[(4,)]",0.000370181053063412,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",2,"[(4, 5)]"
-0.875,0.044748811388010346,"[(4,)]",0.0005740999564540772,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",2,"[(4, 5)]"
-0.85,0.045354730933992116,"[(4,)]",0.0008206296808497271,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",2,"[(4, 5)]"
-0.825,0.045996093692445505,"[(4,)]",0.00110887131359938,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",2,"[(4, 5)]"
-0.8,0.04667217570294557,"[(4,)]",0.0014379631932461834,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",2,"[(4, 5)]"
-0.775,0.04738228554320134,"[(4,)]",0.0018070792081568143,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",2,"[(4, 5)]"
-0.75,0.048125762787557314,"[(4,)]",0.00221542719240464,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",2,"[(4, 5)]"
-0.725,0.04890197655746942,"[(4,)]",0.002662247412578367,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",2,"[(4, 5)]"
-0.7,0.049710324157734576,"[(4,)]",0.003146811139543182,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",2,"[(4, 5)]"
-0.675,0.05055022979267498,"[(4,)]",0.0036684192997595844,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",2,"[(4, 5)]"
-0.6499999999999999,0.05142114335698089,"[(4,)]",0.004226401201042229,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",2,"[(4, 5)]"
-0.625,0.05232253929629138,"[(4,)]",0.004820113328090514,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",2,"[(4, 5)]"
-0.6,0.05325391553295944,"[(4,)]",0.005448938203446829,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",2,"[(4, 5)]"
-0.575,0.054214792452814464,"[(4,)]",0.006112283309823496,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",2,"[(4, 5)]"
-0.55,0.05520471194901866,"[(4,)]",0.0068095800700742615,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",2,"[(4, 5)]"
-0.5249999999999999,0.05622323651942729,"[(4,)]",0.007540282881295823,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",2,"[(4, 5)]"
-0.5,0.05726994841407684,"[(4,)]",0.008303868199830866,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",2,"[(4, 5)]"
-0.475,0.05834444882974399,"[(4,)]",0.009099833674168778,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",2,"[(4, 5)]"
-0.44999999999999996,0.05944635714866919,"[(4,)]",0.009927697322900109,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",2,"[(4, 5)]"
-0.42499999999999993,0.06057531021875562,"[(4,)]",0.010786996755134837,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",3,"[(4, 5, 6)]"
-0.3999999999999999,0.06173096167280345,"[(4,)]",0.011677288430928634,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",3,"[(4, 5, 6)]"
-0.375,0.06291298128441625,"[(4,)]",0.012598146959444279,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",3,"[(4, 5, 6)]"
-0.35,0.06412105435845916,"[(4,)]",0.01354916443271037,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",3,"[(4, 5, 6)]"
-0.32499999999999996,0.06535488115404231,"[(4,)]",0.014529949793008257,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",3,"[(4, 5, 6)]"
-0.29999999999999993,0.06661417633817646,"[(4,)]",0.015540128232014894,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",3,"[(4, 5, 6)]"
-0.2749999999999999,0.06789866846835757,"[(4,)]",0.016579340619969685,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",3,"[(4, 5, 6)]"
-0.25,0.06920809950242823,"[(4,)]",0.017647242963240828,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",3,"[(4, 5, 6)]"
-0.22499999999999998,0.07054222433425039,"[(4,)]",0.018743505888779488,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",3,"[(4, 5, 6)]"
-0.19999999999999996,0.07190081035370977,"[(4,)]",0.01986781415401584,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",3,"[(4, 5, 6)]"
-0.17499999999999993,0.07328363702979779,"[(4,)]",0.021019866180890467,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",3,"[(4, 5, 6)]"
-0.1499999999999999,0.07469049551545837,"[(4,)]",0.02219937361274127,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",3,"[(4, 5, 6)]"
-0.125,0.07612118827311143,"[(4,)]",0.02340606089290187,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",3,"[(4, 5, 6)]"
-0.09999999999999998,0.07757552871973505,"[(4,)]",0.024639664863896904,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",3,"[(4, 5, 6)]"
-0.07499999999999996,0.07905334089048832,"[(4,)]",0.025899934386187873,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",3,"[(4, 5, 6)]"
-0.04999999999999993,0.08055445911995651,"[(4,)]",0.02718662997553256,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",3,"[(4, 5, 6)]"
-0.02499999999999991,0.08207872774009584,"[(4,)]",0.02849952345802187,"[(4, 5)]",4.440892098500626e-16,"[(4, 5, 6)]",3,"[(4, 5, 6)]"
0.0,0.08362600079409166,"[(4,), (6,)]",0.029838397641941405,"[(4, 5), (5, 6)]",4.440892098500626e-16,"[(4, 5, 6)]",3,"[(4, 5, 6)]"
0.025000000000000133,0.08207872774009584,"[(6,)]",0.02849952345802187,"[(5, 6)]",4.440892098500626e-16,"[(4, 5, 6)]",3,"[(4, 5, 6)]"
0.050000000000000044,0.08055445911995651,"[(6,)]",0.02718662997553256,"[(5, 6)]",4.440892098500626e-16,"[(4, 5, 6)]",3,"[(4, 5, 6)]"
0.07499999999999996,0.07905334089048832,"[(6,)]",0.025899934386187873,"[(5, 6)]",4.440892098500626e-16,"[(4, 5, 6)]",3,"[(4, 5, 6)]"
0.10000000000000009,0.07757552871973594,"[(6,)]",0.024639664863896904,"[(5, 6)]",4.440892098500626e-16,"[(4, 5, 6)]",3,"[(4, 5, 6)]"
0.125,0.07612118827311143,"[(6,)]",0.02340606089290187,"[(5, 6)]",4.440892098500626e-16,"[(4, 5, 6)]",3,"[(4, 5, 6)]"
0.15000000000000013,0.07469049551545837,"[(6,)]",0.02219937361274127,"[(5, 6)]",4.440892098500626e-16,"[(4, 5, 6)]",3,"[(4, 5, 6)]"
0.17500000000000004,0.0732836370297969,"[(6,)]",0.021019866180890467,"[(5, 6)]",4.440892098500626e-16,"[(4, 5, 6)]",3,"[(4, 5, 6)]"
0.20000000000000018,0.07190081035370977,"[(6,)]",0.01986781415401584,"[(5, 6)]",4.440892098500626e-16,"[(4, 5, 6)]",3,"[(4, 5, 6)]"
0.2250000000000001,0.07054222433425039,"[(6,)]",0.018743505888779488,"[(5, 6)]",4.440892098500626e-16,"[(4, 5, 6)]",3,"[(4, 5, 6)]"
0.25,0.06920809950242823,"[(6,)]",0.017647242963240828,"[(5, 6)]",4.440892098500626e-16,"[(4, 5, 6)]",3,"[(4, 5, 6)]"
0.27500000000000013,0.06789866846835757,"[(6,)]",0.016579340619969685,"[(5, 6)]",4.440892098500626e-16,"[(4, 5, 6)]",3,"[(4, 5, 6)]"
0.30000000000000004,0.06661417633817646,"[(6,)]",0.015540128232014894,"[(5, 6)]",4.440892098500626e-16,"[(4, 5, 6)]",3,"[(4, 5, 6)]"
0.3250000000000002,0.06535488115404231,"[(6,)]",0.014529949793008257,"[(5, 6)]",4.440892098500626e-16,"[(4, 5, 6)]",3,"[(4, 5, 6)]"
0.3500000000000001,0.06412105435845916,"[(6,)]",0.01354916443271037,"[(5, 6)]",4.440892098500626e-16,"[(4, 5, 6)]",3,"[(4, 5, 6)]"
0.375,0.06291298128441625,"[(6,)]",0.012598146959444279,"[(5, 6)]",4.440892098500626e-16,"[(4, 5, 6)]",3,"[(4, 5, 6)]"
0.40000000000000013,0.06173096167280345,"[(6,)]",0.011677288430928634,"[(5, 6)]",4.440892098500626e-16,"[(4, 5, 6)]",3,"[(4, 5, 6)]"
0.42500000000000004,0.06057531021875562,"[(6,)]",0.010786996755134837,"[(5, 6)]",4.440892098500626e-16,"[(4, 5, 6)]",3,"[(4, 5, 6)]"
