T_ramp,T_relax,max_L3,t_peak,wall
0.001,4,4.222807776077531e-05,0.1031021021021021,2.1481175422668457
0.001,8,4.219747417444353e-05,0.1051041041041041,2.218508243560791
0.001,12,4.222807776077531e-05,0.1031021021021021,2.219773054122925
0.02,4,4.220396754295308e-05,0.11246231155778896,2.1773552894592285
0.02,8,4.220204827909413e-05,0.11223057644110276,2.1483187675476074
0.02,12,4.2138777171629727e-05,0.11013520280420631,2.1766197681427
0.2,4,3.829964513801798e-05,0.2083989501312336,2.1743862628936768
0.2,8,3.830246055702702e-05,0.20820092260379294,2.1823692321777344
0.2,12,3.8293856192694875e-05,0.20610066090493137,2.1958532333374023
1,4,1.300098916257042e-05,0.5238095238095237,2.1342029571533203
1,8,1.2999620217613028e-05,0.5248868778280543,2.1274142265319824
1,12,1.3001473576856881e-05,0.5228758169934641,2.1435322761535645
