t,Lambda1,Lambda2,Lambda3,Lambda4,Kdelta
0.0,0.0422786940140325,8.881784197001252e-16,0.0,0.0,2.0
0.0040013337779259755,0.0432161931978472,0.00016073977255093297,3.6091281074845938e-09,1.403549276801641e-09,2.0
0.008002667555851951,0.044426726022545715,0.000621120157099142,5.0172726417940794e-08,1.9511546156536497e-08,2.0
0.012004001333777926,0.045879609057117854,0.0013502884848195507,2.2067141358661502e-07,8.581570121179993e-08,2.0
0.016005335111703902,0.047546548193065696,0.0023196742588158514,6.058105448403239e-07,2.3558714090654576e-07,2.0
0.02000666888962988,0.049401367470393254,0.003502735781470534,1.2843884018565177e-06,4.994617270881463e-07,2.0
0.02400800266755585,0.05141980435385651,0.004874770765191272,2.3120190677516916e-06,8.990526412233635e-07,2.0
0.028009336445481828,0.05357935295706273,0.0064127728101217585,3.7168143736110437e-06,1.4452705467959959e-06,2.0
0.032010670223407804,0.055859141516912736,0.008095320356810376,5.499573580536321e-06,2.1383983028755438e-06,2.0
0.03601200400133378,0.05823983393868115,0.009902488191084302,7.636718966530509e-06,2.9692348961773973e-06,2.0
0.04001333777925976,0.060703547930256896,0.011815774219796182,1.0084724700654135e-05,3.920820996761165e-06,3.0
0.04401467155718573,0.06323378420955539,0.013818036179161552,1.2785164460460408e-05,4.9704054720933755e-06,3.0
0.0480160053351117,0.06581536282596279,0.015893434458320144,1.566978548428466e-05,6.0914219890406684e-06,3.0
0.05201733911303768,0.0684343637735978,0.01802737834182544,1.8665226277470026e-05,7.2553263965602355e-06,3.0
0.056018672890963656,0.071078069974984,0.02020647385420915,2.1697150242694363e-05,8.433206078350963e-06,3.0
0.06002000666888963,0.07373491135717902,0.022418472023413294,2.4693679921306e-05,9.597116302551001e-06,3.0
0.06402134044681561,0.07639440928483854,0.024652216903178648,2.7588097282205126e-05,1.072113012501319e-05,3.0
0.06802267422474158,0.07904712091544397,0.026897592996692588,3.032082982912243e-05,1.1782109716307332e-05,3.0
0.07202400800266756,0.07717954362926172,0.024973443380349458,3.2840779527809616e-05,1.2760221394181315e-05,3.0
0.07602534178059353,0.07503301118927741,0.023127334133356214,3.5106071562651664e-05,1.3639224582639997e-05,3.0
