T_ramp,shape,L_max_ramp,t_peak_ramp,L_max_post,t_peak_post,L_max_full,t_peak_full,t_peak_full_over_Tramp,peak_location
0.001,linear,0.0,0.0,4.2133511250597167e-05,0.10009591326105087,4.2133511250597167e-05,0.10009591326105087,100.09591326105087,post-ramp
0.001523,linear,0.0,0.0,4.213237644368206e-05,0.10677595329441202,4.213237644368206e-05,0.10677595329441202,70.1089647369744,post-ramp
0.00232,linear,0.0,0.0,4.215347743219411e-05,0.10678658882402,4.215347743219411e-05,0.10678658882402,46.02870207931897,post-ramp
0.003535,linear,0.0,0.0,4.2180336726538314e-05,0.10680280233527939,4.2180336726538314e-05,0.10680280233527939,30.21295681337465,post-ramp
0.005385,linear,0.0,0.0,4.220866326232198e-05,0.10682748957464554,4.220866326232198e-05,0.10682748957464554,19.83797392286825,post-ramp
0.008202,linear,1.467688193201866e-09,0.006679067556296914,4.22221295917069e-05,0.10686508090075063,4.22221295917069e-05,0.10686508090075063,13.029149097872548,post-ramp
0.012495,linear,5.20834930739511e-10,0.0066826480400333605,4.217184850219269e-05,0.10692236864053377,4.217184850219269e-05,0.10692236864053377,8.55721237619318,post-ramp
0.019033,linear,1.4194204034367885e-08,0.013376201834862387,4.217500556880083e-05,0.11369771559633028,4.217500556880083e-05,0.11369771559633028,5.973714894989244,post-ramp
0.028994,linear,3.396170082936578e-07,0.026785634695579652,4.204844436461741e-05,0.12053535613010843,4.204844436461741e-05,0.12053535613010843,4.157251711737202,post-ramp
0.044166,linear,1.2581368427078132e-06,0.04025437531276064,4.195599979261999e-05,0.1274721884904087,4.195599979261999e-05,0.1274721884904087,2.886206323651875,post-ramp
0.067279,linear,4.092895171226019e-06,0.06055505504587155,4.160870600333766e-05,0.13456678899082566,4.160870600333766e-05,0.13456678899082566,2.0001306349800925,post-ramp
0.102486,linear,1.69151751094887e-05,0.10136554628857382,4.075301917971785e-05,0.15542717097581318,4.075301917971785e-05,0.15542717097581318,1.516569784905384,post-ramp
0.156118,linear,2.825694050478944e-05,0.14965354128440364,3.831472477777709e-05,0.18366570975813176,3.831472477777709e-05,0.18366570975813176,1.176454411138573,post-ramp
0.237816,linear,3.229267248539003e-05,0.23359945287739786,3.2020171525815044e-05,0.24047002502085074,3.229267248539003e-05,0.23359945287739786,0.9822697079986118,during-ramp
0.362268,linear,2.479526342291649e-05,0.27897474562135116,1.385374684392815e-05,0.3626671693077565,2.479526342291649e-05,0.27897474562135116,0.7700783553097463,during-ramp
0.551845,linear,1.8272818824272008e-05,0.3352266180150125,7.6423120178859e-06,0.7703079733110926,1.8272818824272008e-05,0.3352266180150125,0.6074651723129004,during-ramp
0.840631,linear,1.2653515828908724e-05,0.3981601951626355,8.42286503655032e-06,1.002773824854045,1.2653515828908724e-05,0.3981601951626355,0.4736444351476873,during-ramp
1.28054,linear,8.139267417384133e-06,0.464414011676397,7.360997808625314e-06,1.400982268557131,8.139267417384133e-06,0.464414011676397,0.3626704450281889,during-ramp
1.950657,linear,4.861967198621642e-06,0.5394434570475396,5.110165144373013e-06,2.0332868765638032,5.110165144373013e-06,2.0332868765638032,1.0423600236042538,post-ramp
2.971452,linear,2.7618001219309463e-06,2.964762675562969,3.0323954627320404e-06,3.037966692243536,3.0323954627320404e-06,3.037966692243536,1.0223845757035739,post-ramp
4.526437,linear,1.5587371269276673e-06,4.523725788990825,1.6269461049489564e-06,4.575962807339449,1.6269461049489564e-06,4.575962807339449,1.010941455131144,post-ramp
6.89516,linear,7.991559014541849e-07,6.894757130942453,8.15514287211272e-07,6.932026088407007,8.15514287211272e-07,6.932026088407007,1.0053466617753624,post-ramp
10.503454,linear,3.840960465240073e-07,10.494035629691409,3.898050371375916e-07,10.540332845704754,3.898050371375916e-07,10.540332845704754,1.0035111160295227,post-ramp
16.0,linear,1.7899343340843643e-07,15.993327773144287,1.8020153547126938e-07,16.033361134278564,1.8020153547126938e-07,16.033361134278564,1.0020850708924103,post-ramp
0.001,smootherstep,0.0,0.0,4.213356389382028e-05,0.10009591326105087,4.213356389382028e-05,0.10009591326105087,100.09591326105087,post-ramp
0.001523,smootherstep,0.0,0.0,4.213248963136351e-05,0.10677595329441202,4.213248963136351e-05,0.10677595329441202,70.1089647369744,post-ramp
0.00232,smootherstep,0.0,0.0,4.21537528421112e-05,0.10678658882402,4.21537528421112e-05,0.10678658882402,46.02870207931897,post-ramp
0.003535,smootherstep,0.0,0.0,4.21809585544608e-05,0.10680280233527939,4.21809585544608e-05,0.10680280233527939,30.21295681337465,post-ramp
0.005385,smootherstep,0.0,0.0,4.2210155198674215e-05,0.10682748957464554,4.2210155198674215e-05,0.10682748957464554,19.83797392286825,post-ramp
0.008202,smootherstep,9.501981423909456e-10,0.006679067556296914,4.222575117474037e-05,0.10686508090075063,4.222575117474037e-05,0.10686508090075063,13.029149097872548,post-ramp
0.012495,smootherstep,1.178088737674443e-10,0.0066826480400333605,4.218085071627797e-05,0.10692236864053377,4.218085071627797e-05,0.10692236864053377,8.55721237619318,post-ramp
0.019033,smootherstep,6.967319166051311e-09,0.013376201834862387,4.219557239792948e-05,0.11369771559633028,4.219557239792948e-05,0.11369771559633028,5.973714894989244,post-ramp
0.028994,smootherstep,2.801659277906765e-07,0.026785634695579652,4.2097445949629275e-05,0.12053535613010843,4.2097445949629275e-05,0.12053535613010843,4.157251711737202,post-ramp
0.044166,smootherstep,1.0639727374694985e-06,0.04025437531276064,4.2081870919474795e-05,0.1274721884904087,4.2081870919474795e-05,0.1274721884904087,2.886206323651875,post-ramp
0.067279,smootherstep,3.6149674960128664e-06,0.06055505504587155,4.1967288796129765e-05,0.13456678899082566,4.1967288796129765e-05,0.13456678899082566,2.0001306349800925,post-ramp
0.102486,smootherstep,1.717074318463574e-05,0.10136554628857382,4.165446532589101e-05,0.15542717097581318,4.165446532589101e-05,0.15542717097581318,1.516569784905384,post-ramp
0.156118,smootherstep,3.085339787745056e-05,0.14965354128440364,4.071946973471796e-05,0.18366570975813176,4.071946973471796e-05,0.18366570975813176,1.176454411138573,post-ramp
0.237816,smootherstep,3.819854927566979e-05,0.22672888073394498,3.673763384526296e-05,0.24047002502085074,3.819854927566979e-05,0.22672888073394498,0.9533794224692409,during-ramp
