peak,t,node_i,node_j,DeltaK_ij
primary (near ramp end),0.20820092260379294,3,8,0.010432538374627452
primary (near ramp end),0.20820092260379294,3,7,0.010432538374627409
primary (near ramp end),0.20820092260379294,2,8,0.010432538374627333
primary (near ramp end),0.20820092260379294,2,7,0.010432538374627319
primary (near ramp end),0.20820092260379294,1,7,0.010432538374627282
primary (near ramp end),0.20820092260379294,1,8,0.010432538374627215
secondary (post-ramp echo),0.5444387493593029,1,7,-0.0035758377892398407
secondary (post-ramp echo),0.5444387493593029,2,8,-0.0035758377892398294
secondary (post-ramp echo),0.5444387493593029,1,8,-0.0035758377892398177
secondary (post-ramp echo),0.5444387493593029,2,7,-0.0035758377892397756
secondary (post-ramp echo),0.5444387493593029,3,7,-0.0035758377892396625
secondary (post-ramp echo),0.5444387493593029,3,8,-0.0035758377892396625
