seed,t,hid,hyp_prob_prior,hyp_size_prior,cand_idx,r_retain,r_purity,dice,passes_gate,cand_size,prev_size,R_F,score,D_deform,bulk_delta,bulk_speed
500,2,0,1.0,46,0,0.8913043478260869,0.9318181818181818,0.9111111111111111,True,44,46,0.6805972950485368,0.8189055846860813,0.20146939126833666,"[0.09852954764891741, -0.1921484576924435]",0.21593772610057055
500,2,0,1.0,46,1,0.043478260869565216,0.05405405405405406,0.04819277108433735,False,37,46,,,,,
500,2,0,1.0,46,2,0.0,0.0,0.0,False,35,46,,,,,
500,2,0,1.0,46,3,0.043478260869565216,0.05714285714285714,0.04938271604938271,False,35,46,,,,,
500,2,0,1.0,46,4,0.0,0.0,0.0,False,31,46,,,,,
500,2,0,1.0,46,5,0.0,0.0,0.0,False,29,46,,,,,
500,2,0,1.0,46,6,0.0,0.0,0.0,False,29,46,,,,,
500,2,0,1.0,46,7,0.0,0.0,0.0,False,29,46,,,,,
500,2,0,1.0,46,8,0.0,0.0,0.0,False,27,46,,,,,
500,2,0,1.0,46,9,0.0,0.0,0.0,False,26,46,,,,,
500,2,0,1.0,46,10,0.0,0.0,0.0,False,24,46,,,,,
500,2,0,1.0,46,11,0.021739130434782608,0.043478260869565216,0.028985507246376812,False,23,46,,,,,
500,2,0,1.0,46,12,0.0,0.0,0.0,False,17,46,,,,,
500,2,0,1.0,46,13,0.0,0.0,0.0,False,14,46,,,,,
500,3,0,1.0,44,0,0.0,0.0,0.0,False,37,44,,,,,
500,3,0,1.0,44,1,0.5454545454545454,0.6666666666666666,0.6,True,36,44,0.6185525661610696,0.6074210264644279,0.2406052957756781,"[1.4019579553108255, -2.806339473237628]",3.137041177209977
500,3,0,1.0,44,2,0.0,0.0,0.0,False,36,44,,,,,
500,3,0,1.0,44,3,0.13636363636363635,0.1875,0.15789473684210525,False,32,44,,,,,
500,3,0,1.0,44,4,0.0,0.0,0.0,False,28,44,,,,,
500,3,0,1.0,44,5,0.0,0.0,0.0,False,26,44,,,,,
500,3,0,1.0,44,6,0.3181818181818182,0.5833333333333334,0.4117647058823529,True,24,44,0.5135658737669746,0.4524851730362016,0.30682766859850275,"[-2.855886293351368, -21.13082488800051]",21.322941799102065
500,3,0,1.0,44,7,0.0,0.0,0.0,False,24,44,,,,,
500,3,0,1.0,44,8,0.0,0.0,0.0,False,24,44,,,,,
500,3,0,1.0,44,9,0.0,0.0,0.0,False,24,44,,,,,
500,3,0,1.0,44,10,0.0,0.0,0.0,False,22,44,,,,,
500,3,0,1.0,44,11,0.0,0.0,0.0,False,21,44,,,,,
500,3,0,1.0,44,12,0.0,0.0,0.0,False,20,44,,,,,
500,3,0,1.0,44,13,0.0,0.0,0.0,False,18,44,,,,,
500,3,0,1.0,44,14,0.0,0.0,0.0,False,18,44,,,,,
500,4,1,0.6501601897796762,36,0,0.8611111111111112,0.6078431372549019,0.7126436781609196,True,51,36,0.500471488160602,0.6277748021607925,0.3150872038380357,"[0.22073858324720774, 0.15799606250751097]",0.27145584889970925
500,4,1,0.6501601897796762,36,1,0.0,0.0,0.0,False,36,36,,,,,
500,4,1,0.6501601897796762,36,2,0.05555555555555555,0.058823529411764705,0.05714285714285714,False,34,36,,,,,
500,4,1,0.6501601897796762,36,3,0.0,0.0,0.0,False,30,36,,,,,
500,4,1,0.6501601897796762,36,4,0.08333333333333333,0.10344827586206896,0.09230769230769231,False,29,36,,,,,
500,4,1,0.6501601897796762,36,5,0.0,0.0,0.0,False,29,36,,,,,
500,4,1,0.6501601897796762,36,6,0.0,0.0,0.0,False,26,36,,,,,
500,4,1,0.6501601897796762,36,7,0.0,0.0,0.0,False,26,36,,,,,
500,4,1,0.6501601897796762,36,8,0.0,0.0,0.0,False,25,36,,,,,
500,4,1,0.6501601897796762,36,9,0.0,0.0,0.0,False,24,36,,,,,
500,4,1,0.6501601897796762,36,10,0.0,0.0,0.0,False,23,36,,,,,
500,4,1,0.6501601897796762,36,11,0.0,0.0,0.0,False,19,36,,,,,
500,4,1,0.6501601897796762,36,12,0.0,0.0,0.0,False,18,36,,,,,
500,4,1,0.6501601897796762,36,13,0.0,0.0,0.0,False,17,36,,,,,
500,4,1,0.6501601897796762,36,14,0.0,0.0,0.0,False,13,36,,,,,
500,4,2,0.3498398102203238,24,0,0.0,0.0,0.0,False,51,24,,,,,
500,4,2,0.3498398102203238,24,1,0.0,0.0,0.0,False,36,24,,,,,
500,4,2,0.3498398102203238,24,2,0.0,0.0,0.0,False,34,24,,,,,
500,4,2,0.3498398102203238,24,3,0.0,0.0,0.0,False,30,24,,,,,
500,4,2,0.3498398102203238,24,4,1.0,0.8275862068965517,0.9056603773584906,True,29,24,0.7456426891938974,0.8416533020926533,0.16044075951249032,"[-0.00972631315520367, -0.031785771137744945]",0.0332405838458681
500,4,2,0.3498398102203238,24,5,0.0,0.0,0.0,False,29,24,,,,,
500,4,2,0.3498398102203238,24,6,0.0,0.0,0.0,False,26,24,,,,,
500,4,2,0.3498398102203238,24,7,0.0,0.0,0.0,False,26,24,,,,,
500,4,2,0.3498398102203238,24,8,0.0,0.0,0.0,False,25,24,,,,,
