candidate_id,snapshot_id,candidate_source,node_ids,boundary_ids,C_internal,G_internal,L_blanket,D_local,external_entropy,directional_contrast,structural_shell_size,boundary_budget,boundary_size,is_pareto
seed2__opposite__fE1.00__t20__c00000,seed2__opposite__fE1.00__t20,seed_reference_I0,7|8|9|16|17|18|19|26|27|28|29|36|37|38|39|47|48|49|58|59,5|6|15|25|35|45|46|56|57|67|68|69,1.0,0.11415802223725705,0.0,1.0,-0.0,1.0,12,12,12,False
seed2__opposite__fE1.00__t20__c00001,seed2__opposite__fE1.00__t20,region_growing,31|32|40|41|50|51|52|60|61|64|70|71|72|73|75|80|81|90|91|92,53|54|62|65|66|74|76|82|83|84|85|86,0.95,0.008390760874571787,-5.790879460210911e-07,0.4809703158738252,0.7337289824241499,0.16756341708507222,23,12,12,False
seed2__opposite__fE1.00__t20__c00002,seed2__opposite__fE1.00__t20,high_coherence,0|1|2|3|10|12|20|21|23|30|31|40|41|44|50|52|53|61|62|63,4|13|14|22|33|35|42|43|54|64|72|73,0.85,0.0011731283860730531,-9.40508799850948e-06,0.3210013776421586,0.7730898459737487,0.12248344080367823,23,12,12,False
seed2__opposite__fE1.00__t20__c00003,seed2__opposite__fE1.00__t20,region_growing,4|5|6|7|12|13|15|16|17|24|25|26|27|29|38|39|48|49|57|58,2|3|8|11|18|19|21|22|23|28|37|59,0.8,0.033283450408165084,1.9564138504678295e-05,0.3972549255569855,0.6960736118322673,0.7684377460965797,25,12,12,False
seed2__opposite__fE1.00__t20__c00004,seed2__opposite__fE1.00__t20,spectral_resized,25|28|35|36|37|38|39|45|46|47|48|49|56|57|58|59|65|67|68|69,14|15|16|17|18|19|24|26|27|29|34|44,0.95,0.012011364541016674,0.0,0.4514781905651046,0.7595230821599189,0.8200921998322399,22,12,12,False
seed2__opposite__fE1.00__t20__c00005,seed2__opposite__fE1.00__t20,region_growing,2|3|4|6|8|12|14|15|16|17|23|26|27|29|35|36|37|38|39|45,5|7|13|18|19|21|22|25|28|33|48|49,0.7,0.01602796566646578,-1.4540451048220557e-05,0.25627618438606475,0.6303858969483971,0.3158178159455239,24,12,12,False
seed2__opposite__fE1.00__t20__c00006,seed2__opposite__fE1.00__t20,region_growing,0|1|4|5|10|13|14|15|16|20|21|22|24|30|31|32|33|35|40|42,2|3|11|12|17|23|25|26|27|34|43|44,0.55,9.832529622031345e-05,4.189912785553386e-06,0.08908147065129943,0.6997906153230322,0.21599809608081294,22,12,12,False
seed2__opposite__fE1.00__t20__c00007,seed2__opposite__fE1.00__t20,mcmc_swap,8|10|19|20|27|28|31|36|39|42|43|46|49|51|54|55|58|61|62|67,7|17|18|26|29|32|33|37|38|48|53|59,0.5,0.00619963556728583,-0.00011906945744045091,0.2050213079802233,0.6973084919272721,0.5620173672946043,46,12,12,False
seed2__opposite__fE1.00__t20__c00008,seed2__opposite__fE1.00__t20,region_growing,2|3|5|6|13|14|15|20|21|22|26|32|33|35|41|44|50|51|62|71,4|12|16|23|24|25|31|34|36|37|42|43,0.5,0.027177816877326132,-2.2288410422843884e-05,0.025910866984732297,0.7356772435069647,0.07600084799745604,35,12,12,False
seed2__opposite__fE1.00__t20__c00009,seed2__opposite__fE1.00__t20,region_growing,0|1|12|21|23|24|31|32|34|40|44|50|51|52|53|64|73|74|83|93,11|13|22|33|43|54|62|72|75|84|85|94,0.75,0.008582201813719739,-2.138046740061078e-05,0.31420627065512946,0.7742826130154589,0.07816925613394637,31,12,12,False
seed2__opposite__fE1.00__t20__c00010,seed2__opposite__fE1.00__t20,region_growing,4|6|9|14|15|16|17|18|19|23|26|27|28|29|35|37|38|39|49|59,5|7|8|13|25|33|36|46|48|58|68|69,0.85,0.06274156349976598,3.89180613374375e-07,0.45531633501760366,0.7233239797551376,0.6084652289093281,21,12,12,False
seed2__opposite__fE1.00__t20__c00011,seed2__opposite__fE1.00__t20,mcmc_swap,23|30|32|33|41|42|43|50|54|55|57|60|66|76|79|84|85|87|88|93,13|53|74|75|86|89|94|95|96|97|98|99,0.5,0.027628864123260093,-5.578937143879874e-05,0.2529338212243917,0.6783347599166554,0.4706389890242649,45,12,12,False
