candidate_id,snapshot_id,candidate_source,node_ids,boundary_ids,C_internal,G_internal,L_blanket,D_local,external_entropy,directional_contrast,structural_shell_size,boundary_budget,boundary_size,is_pareto
seed3__no_control__fE1.00__t20__c00000,seed3__no_control__fE1.00__t20,seed_reference_I0,47|48|49|57|58|59|66|67|68|69|76|77|79|86|87|88|89|97|98|99,36|37|38|39|46|55|56|65|75|78|85|95,1.0,0.001990094078709386,-0.0003353470099731047,0.12627201136140498,0.38967491864604253,0.021086857389424285,13,12,12,False
seed3__no_control__fE1.00__t20__c00001,seed3__no_control__fE1.00__t20,region_growing,23|33|34|35|37|38|39|40|41|42|44|47|52|53|55|56|60|61|67|70,24|26|28|36|43|45|46|51|54|62|64|71,0.55,0.07951377656917888,0.009647692375267804,0.003440292412941931,0.7573619913015501,9.362614123920032e-05,37,12,12,False
seed3__no_control__fE1.00__t20__c00002,seed3__no_control__fE1.00__t20,region_growing,56|62|65|66|68|73|74|76|77|79|82|85|87|88|89|95|96|97|98|99,47|52|54|55|61|63|64|72|75|83|84|86,0.8,0.03716486399339032,0.0008942679558959282,0.1553099297398761,0.7610949360829107,0.003633108983146005,28,12,12,False
seed3__no_control__fE1.00__t20__c00003,seed3__no_control__fE1.00__t20,region_growing,12|13|22|23|25|34|41|42|44|45|47|50|52|53|56|65|66|67|77|78,3|16|24|35|36|40|43|51|54|55|64|75,0.6,0.03512937708485994,0.010246521382438525,0.048131785411009084,0.7028390276231686,0.06931704830809848,43,12,12,False
seed3__no_control__fE1.00__t20__c00004,seed3__no_control__fE1.00__t20,region_growing,5|6|7|8|14|15|16|17|18|19|26|29|35|36|37|38|46|47|56|58,3|4|9|13|24|25|27|28|39|44|45|55,0.9,0.1566244952824128,0.0012700295836217612,0.1370609447152168,0.636452797660028,0.04932984342796315,23,12,12,False
seed3__no_control__fE1.00__t20__c00005,seed3__no_control__fE1.00__t20,region_growing,16|22|26|32|33|36|37|43|45|46|52|54|64|65|66|67|73|74|75|86,17|25|27|34|35|38|44|51|53|55|84|85,0.65,0.08135834093371301,0.012817332938560097,0.051182976597187894,0.7872891879271746,1.014209069166716e-05,45,12,12,False
seed3__no_control__fE1.00__t20__c00006,seed3__no_control__fE1.00__t20,region_growing,0|1|3|4|5|10|11|12|13|14|15|16|21|22|25|30|35|40|44|45,6|17|24|26|32|34|36|41|51|53|54|55,0.7,0.0931193156400602,0.0026603928024396878,0.44098374886132635,0.6105238925898591,0.5293610109757352,23,12,12,False
seed3__no_control__fE1.00__t20__c00007,seed3__no_control__fE1.00__t20,region_growing,60|63|65|66|70|71|72|73|74|76|80|81|82|83|85|90|91|92|93|95,50|51|52|53|54|55|61|62|64|75|84|94,0.75,0.05911505615422271,0.0005567009689834004,0.5978534186818352,0.41832037097058367,0.5135085806739575,19,12,12,False
seed3__no_control__fE1.00__t20__c00008,seed3__no_control__fE1.00__t20,region_growing,46|56|65|66|67|68|75|76|77|83|84|85|86|87|88|95|96|97|98|99,36|37|45|47|54|55|64|72|73|74|93|94,0.85,0.07108390932011313,7.551105438526531e-05,0.10368860741075882,0.6758220575766961,0.010554583684803998,22,12,12,False
seed3__no_control__fE1.00__t20__c00009,seed3__no_control__fE1.00__t20,region_growing,5|14|15|23|25|26|28|32|35|36|37|44|45|47|52|53|57|66|67|77,4|13|16|24|27|29|34|38|43|51|54|64,0.75,0.08637244309388448,0.01575023461371227,0.08464080753772932,0.7573619913015501,0.01794198511490852,41,12,12,False
seed3__no_control__fE1.00__t20__c00010,seed3__no_control__fE1.00__t20,region_growing,27|34|36|45|52|54|56|61|62|63|66|70|72|73|74|81|83|84|92|93,17|26|28|35|43|44|51|53|64|65|71|94,0.6,0.07352532004250818,0.014640705619847214,0.49534884442095883,0.4652930645659965,0.44953439243625865,38,12,12,False
seed3__no_control__fE1.00__t20__c00011,seed3__no_control__fE1.00__t20,region_growing,8|17|18|28|29|35|37|38|39|44|46|48|54|55|58|59|63|65|66|69,7|19|24|26|27|34|36|45|53|62|64|75,0.95,0.09831630050464664,0.009368125795507462,0.4635939437393944,0.772576569917455,0.04616324147208822,32,12,12,False
seed3__no_control__fE1.00__t20__c00012,seed3__no_control__fE1.00__t20,region_growing,5|14|21|25|26|32|34|43|44|45|53|54|62|64|65|66|70|71|81|90,4|15|16|24|27|35|36|52|55|61|63|75,0.45,0.09641258640437676,0.013621315624993796,0.01442978360656091,0.6907304272670348,0.0002870264300826042,43,12,12,False
