candidate_id,snapshot_id,candidate_source,node_ids,boundary_ids,C_internal,G_internal,L_blanket,D_local,external_entropy,directional_contrast,structural_shell_size,boundary_budget,boundary_size,is_pareto
seed3__same_direction__fE1.00__t20__c00000,seed3__same_direction__fE1.00__t20,seed_reference_I0,47|48|49|56|57|58|59|66|67|68|69|76|77|86|87|88|89|97|98|99,36|37|38|39|45|46|55|65|75|85|95|96,1.0,0.013012204041981789,-0.0002745652481678119,0.0,-0.0,0.0,14,12,12,False
seed3__same_direction__fE1.00__t20__c00001,seed3__same_direction__fE1.00__t20,mcmc_swap,20|23|31|32|40|42|51|53|62|63|74|76|77|84|85|88|94|95|96|98,13|14|21|22|24|30|33|41|50|60|89|97,1.0,0.018078628006339127,0.0009949773835302871,0.0,-0.0,0.0,37,12,12,False
seed3__same_direction__fE1.00__t20__c00002,seed3__same_direction__fE1.00__t20,region_growing,35|36|39|44|46|48|49|55|57|58|59|66|67|68|69|78|79|88|89|99,24|25|26|27|28|29|33|34|37|87|97|98,1.0,0.003812968666622907,-1.1113593523372906e-06,0.0,-0.0,0.0,24,12,12,False
seed3__same_direction__fE1.00__t20__c00003,seed3__same_direction__fE1.00__t20,region_growing,42|52|54|55|63|64|70|71|72|73|74|80|81|82|83|85|90|91|92|94,31|32|33|41|43|44|45|46|51|53|61|62,1.0,0.00043555128866955685,0.0,0.0,-0.0,0.0,23,12,12,False
seed3__same_direction__fE1.00__t20__c00004,seed3__same_direction__fE1.00__t20,mcmc_swap,3|11|12|23|25|31|33|36|41|42|43|45|46|50|52|54|55|62|63|73,2|4|13|14|22|24|30|32|40|51|60|61,1.0,0.02312663315666584,0.0003696148118924144,0.0,-0.0,0.0,38,12,12,False
seed3__same_direction__fE1.00__t20__c00005,seed3__same_direction__fE1.00__t20,high_coherence,5|6|7|8|9|18|19|25|26|27|28|29|38|39|48|49|57|59|68|69,4|14|15|17|24|34|35|36|37|58|78|79,1.0,0.012823539598951248,-1.2875953561553716e-05,0.0,-0.0,0.0,19,12,12,False
seed3__same_direction__fE1.00__t20__c00006,seed3__same_direction__fE1.00__t20,perturb_I0,48|55|56|57|58|59|65|66|67|68|69|74|76|77|86|87|89|97|98|99,37|38|39|44|45|46|47|49|54|63|64|88,1.0,0.002273851005440653,-5.652467686819878e-05,0.0,-0.0,0.0,21,12,12,False
seed3__same_direction__fE1.00__t20__c00007,seed3__same_direction__fE1.00__t20,region_growing,8|15|17|18|19|23|24|25|26|27|28|29|33|35|36|39|43|44|47|54,5|6|7|9|12|13|14|16|22|32|42|52,1.0,0.018124739168754782,-1.4413919330035635e-05,0.0,-0.0,0.0,28,12,12,False
seed3__same_direction__fE1.00__t20__c00008,seed3__same_direction__fE1.00__t20,region_growing,1|3|4|6|8|10|11|12|13|14|15|17|22|23|24|25|28|29|33|37,0|2|5|7|9|16|20|21|31|32|42|43,1.0,0.0992884922645425,-0.000387887632625589,0.0,-0.0,0.0,25,12,12,False
seed3__same_direction__fE1.00__t20__c00009,seed3__same_direction__fE1.00__t20,mcmc_swap,14|15|25|27|36|37|38|39|46|47|49|55|59|69|78|87|88|95|96|99,3|4|5|6|13|16|23|24|58|89|97|98,1.0,0.0008260338609413605,-0.00011538139560283775,0.0,-0.0,0.0,37,12,12,False
seed3__same_direction__fE1.00__t20__c00010,seed3__same_direction__fE1.00__t20,high_coherence,24|35|36|39|46|47|48|49|54|56|57|59|64|65|67|77|87|88|97|98,14|15|23|26|27|28|29|33|37|38|89|99,1.0,0.0027021343972084165,-0.000318772486231067,0.0,-0.0,0.0,33,12,12,False
seed3__same_direction__fE1.00__t20__c00011,seed3__same_direction__fE1.00__t20,high_coherence,27|37|38|48|54|55|56|58|59|64|66|67|68|77|78|86|87|89|97|99,16|17|18|26|28|29|36|39|43|44|88|98,1.0,0.0005727569155726177,-3.139222638543805e-05,0.0,-0.0,0.0,29,12,12,False
seed3__same_direction__fE1.00__t20__c00012,seed3__same_direction__fE1.00__t20,perturb_I0,47|48|49|56|57|58|66|67|68|69|76|77|85|86|87|88|89|94|98|99,36|37|38|39|45|46|55|59|65|74|75|97,1.0,0.00948339073887223,-0.0002745652481678119,0.0,-0.0,0.0,19,12,12,False
seed3__same_direction__fE1.00__t20__c00013,seed3__same_direction__fE1.00__t20,mcmc_swap,28|39|47|48|50|51|52|57|61|67|70|72|75|76|83|84|86|87|92|96,17|18|19|40|41|42|43|53|60|62|63|71,1.0,0.015158436722780836,0.0,0.0,-0.0,0.0,41,12,12,False
seed3__same_direction__fE1.00__t20__c00014,seed3__same_direction__fE1.00__t20,mcmc_swap,0|1|11|22|26|32|35|36|41|43|44|47|48|57|59|66|67|78|87|88,12|13|23|31|33|40|42|50|51|52|89|97,1.0,0.0090791119273487,0.0005461428171053982,0.0,-0.0,0.0,46,12,12,False
seed3__same_direction__fE1.00__t20__c00015,seed3__same_direction__fE1.00__t20,perturb_I0,46|47|48|49|56|57|58|65|66|67|68|76|77|79|86|87|88|95|97|98,35|36|37|38|39|45|54|55|59|64|89|99,1.0,0.002637491054233742,-9.946142052620483e-05,0.0,-0.0,0.0,20,12,12,False
seed3__same_direction__fE1.00__t20__c00016,seed3__same_direction__fE1.00__t20,perturb_I0,28|38|48|49|56|57|58|64|66|67|68|75|77|86|87|88|89|95|97|99,17|18|19|27|29|37|39|45|46|47|53|98,1.0,0.005043831870690606,-0.0002959033361282103,0.0,-0.0,0.0,27,12,12,False
seed3__same_direction__fE1.00__t20__c00017,seed3__same_direction__fE1.00__t20,mcmc_swap,4|7|8|9|15|16|19|26|27|35|39|45|48|56|57|59|66|67|77|86,3|5|6|13|14|17|18|24|34|36|37|38,1.0,0.004394842432917127,-0.00046877073050300767,0.0,-0.0,0.0,34,12,12,False
