candidate_id,snapshot_id,candidate_source,node_ids,boundary_ids,C_internal,G_internal,L_blanket,D_local,external_entropy,directional_contrast,structural_shell_size,boundary_budget,boundary_size,is_pareto
seed3__shell_only__fE1.00__t20__c00000,seed3__shell_only__fE1.00__t20,seed_reference_I0,46|47|48|49|57|58|59|66|67|68|69|76|77|86|87|88|89|97|98|99,35|36|37|38|39|45|65|75|78|79|85|96,1.0,0.00511869413377391,0.0,0.03957160000461373,0.1956217818146278,0.0,15,12,12,False
seed3__shell_only__fE1.00__t20__c00001,seed3__shell_only__fE1.00__t20,region_growing,15|16|24|27|32|34|35|36|37|38|42|43|44|45|54|55|56|57|65|74,5|6|14|17|23|25|26|28|33|41|51|52,0.85,0.01934397963758959,0.0019489391854501507,0.01725235623955962,0.4248755686266487,0.0,38,12,12,False
seed3__shell_only__fE1.00__t20__c00002,seed3__shell_only__fE1.00__t20,region_growing,10|11|14|20|23|24|30|31|32|33|40|42|51|52|61|62|63|71|80|91,3|4|5|13|15|21|25|34|41|43|50|60,0.5,0.06424182824849387,0.00018912680237545727,0.31127812445913283,-0.0,0.5,30,12,12,False
seed3__shell_only__fE1.00__t20__c00003,seed3__shell_only__fE1.00__t20,region_growing,33|43|45|48|53|54|56|57|58|64|66|68|75|77|78|79|84|88|89|99,23|24|32|34|42|44|52|59|69|87|97|98,1.0,0.0017718375407104598,3.918256325083239e-06,0.16919485510105411,0.44064544961534635,0.0,35,12,12,False
seed3__shell_only__fE1.00__t20__c00004,seed3__shell_only__fE1.00__t20,region_growing,6|15|16|18|26|27|35|36|44|45|46|51|52|53|55|57|64|65|76|86,4|5|7|17|19|24|25|28|42|43|50|61,1.0,0.0221733755741891,0.001049193286604745,0.18093363672448134,0.45119664139748944,0.0,42,12,12,False
seed3__shell_only__fE1.00__t20__c00005,seed3__shell_only__fE1.00__t20,region_growing,11|13|14|15|17|22|24|26|28|30|31|33|34|35|39|41|43|46|47|54,4|5|6|16|18|23|25|27|32|40|42|52,0.65,0.04235487645781051,0.005649467693581728,0.20198180736881208,-0.0,0.0,41,12,12,False
seed3__shell_only__fE1.00__t20__c00006,seed3__shell_only__fE1.00__t20,region_growing,0|1|10|13|20|21|22|23|30|31|32|33|41|43|52|53|54|62|63|65,3|4|12|14|24|34|40|42|44|50|51|61,0.6,0.04024842241677238,-4.521815542261496e-06,0.3958156020033583,-0.0,1.0,25,12,12,False
seed3__shell_only__fE1.00__t20__c00007,seed3__shell_only__fE1.00__t20,region_growing,4|5|7|8|9|13|16|17|19|24|27|28|29|37|39|46|49|57|59|68,3|6|14|15|18|22|23|25|26|33|34|58,0.85,0.04686692909147039,-1.7898122856533544e-05,0.04034679916716518,0.46833369093878124,0.0,28,12,12,False
seed3__shell_only__fE1.00__t20__c00008,seed3__shell_only__fE1.00__t20,region_growing,5|6|15|16|18|24|26|27|36|37|39|45|46|47|48|49|56|59|67|69,4|7|8|14|17|19|23|25|28|33|34|58,0.95,0.04456423604715236,9.250187990759198e-05,0.11332736966541228,0.46833369093878124,0.0,28,12,12,False
seed3__shell_only__fE1.00__t20__c00009,seed3__shell_only__fE1.00__t20,region_growing,57|59|63|66|67|68|69|74|75|76|77|85|86|87|88|89|96|97|98|99,46|47|48|52|53|54|55|56|58|62|78|79,1.0,0.004817976868966649,-7.764215685022914e-06,0.061477271628927875,0.2612796872684704,0.0,21,12,12,False
