candidate_id,snapshot_id,candidate_source,node_ids,boundary_ids,C_internal,G_internal,L_blanket,D_local,external_entropy,directional_contrast,structural_shell_size,boundary_budget,boundary_size,is_pareto
seed4__disordered__fE1.00__t20__c00000,seed4__disordered__fE1.00__t20,seed_reference_I0,67|73|74|75|76|77|78|79|84|85|86|87|88|89|94|95|96|97|98|99,56|57|58|62|64|65|68|69|72|82|83|93,1.0,0.07923267288642599,-1.5212713484703474e-05,0.5487949406953986,1.0,0.5,14,12,12,False
seed4__disordered__fE1.00__t20__c00001,seed4__disordered__fE1.00__t20,region_growing,3|4|5|7|14|15|16|17|18|19|25|27|29|35|36|37|38|39|46|47,6|13|24|26|34|44|45|48|49|55|56|57,0.6,0.0781384746785569,4.134370688078203e-05,0.21568059380620377,0.7653195311147832,0.2660561397904836,19,12,12,False
seed4__disordered__fE1.00__t20__c00002,seed4__disordered__fE1.00__t20,region_growing,35|36|38|41|43|44|45|46|47|52|53|54|60|61|62|63|64|65|72|76,24|25|26|33|34|37|48|50|51|55|70|71,0.4,0.01742372834598085,0.00025798044314187703,0.015310443442874494,0.8174654000164103,0.004797552317255371,37,12,12,False
seed4__disordered__fE1.00__t20__c00003,seed4__disordered__fE1.00__t20,spectral_resized,5|6|7|8|9|14|17|18|19|26|27|28|29|36|37|38|39|46|48|49,4|15|16|24|25|35|45|47|55|57|58|59,0.45,0.014630634065956554,5.815659179162708e-05,0.37892223586577733,0.49261406801712576,0.4292893218813453,16,12,12,False
seed4__disordered__fE1.00__t20__c00004,seed4__disordered__fE1.00__t20,perturb_I0,64|72|73|74|75|76|77|78|79|84|85|86|87|88|89|94|95|97|98|99,53|54|65|67|68|69|71|81|82|83|93|96,1.0,0.06729544550909936,-1.5212713484703474e-05,0.4591479170272447,0.8860386268675405,0.34188611699158106,17,12,12,False
seed4__disordered__fE1.00__t20__c00005,seed4__disordered__fE1.00__t20,mcmc_swap,14|25|31|34|35|41|43|46|51|54|57|60|62|63|65|66|68|73|75|86,4|15|24|26|36|44|45|50|55|61|70|96,0.55,0.01381555293274089,0.0012066149413901867,0.1737135785643675,0.8711886996811763,0.13782728091930208,50,12,12,False
seed4__disordered__fE1.00__t20__c00006,seed4__disordered__fE1.00__t20,high_coherence,0|1|2|3|4|6|11|13|14|15|17|18|20|23|25|26|31|33|35|45,5|7|12|16|24|27|34|36|44|46|54|55,0.95,0.039814828120146126,0.0001858400272714942,0.7113327711866818,0.8446958733715438,0.6828261862114968,28,12,12,False
seed4__disordered__fE1.00__t20__c00007,seed4__disordered__fE1.00__t20,mcmc_swap,1|11|21|22|27|30|31|32|36|43|45|51|52|54|62|65|70|71|74|83,25|26|33|35|37|44|53|55|60|61|80|81,0.65,0.0033320452335564377,0.0010538851921441232,0.10052531307641883,0.8783119055396816,0.0006629368352581433,45,12,12,False
seed4__disordered__fE1.00__t20__c00008,seed4__disordered__fE1.00__t20,region_growing,1|2|6|7|9|12|13|16|17|18|19|23|25|28|33|34|36|43|44|53,3|5|14|15|24|26|27|35|37|45|52|54,0.7,0.010673041291620482,0.00033895065307621363,0.4593155702317646,0.6758220575766961,0.4933339258469253,30,12,12,False
seed4__disordered__fE1.00__t20__c00009,seed4__disordered__fE1.00__t20,mcmc_swap,2|12|21|27|32|38|40|42|47|49|50|51|53|55|56|64|75|77|86|97,16|46|48|52|54|59|60|61|78|87|88|96,0.45,0.0016952981242858243,0.0022774462568533505,0.038055815014687945,0.7580738290388045,0.021559711678613813,50,12,12,False
