seed 0   dur=160  size  97->69  disp=  3.7R R_M=0.61 R_F=0.96 Ddef=0.027 turn=0.002 valid=0.94 | T1T2T3T4T5 PASS
seed 1   dur=160  size  72->96  disp=  3.9R R_M=0.97 R_F=0.97 Ddef=0.018 turn=0.019 valid=1.00 | T1T2T4T5 
seed 2   dur=160  size  65->55  disp=  3.4R R_M=0.78 R_F=0.97 Ddef=0.022 turn=0.002 valid=0.97 | T1T2T4T5 
seed 3   dur=160  size  87->76  disp=  3.8R R_M=0.72 R_F=0.95 Ddef=0.037 turn=0.011 valid=0.89 | T1T2T4 
seed 4   dur=160  size  71->104 disp=  4.6R R_M=0.62 R_F=0.95 Ddef=0.038 turn=0.017 valid=0.98 | T1T2T3T4T5 PASS
seed 5   dur=160  size 100->135 disp=  4.0R R_M=0.99 R_F=0.97 Ddef=0.018 turn=0.005 valid=0.96 | T1T2T4T5 
seed 6   dur=160  size  69->83  disp=  3.7R R_M=0.54 R_F=0.95 Ddef=0.028 turn=0.012 valid=0.99 | T1T2T3T4T5 PASS
seed 7   dur=160  size  70->83  disp=  3.7R R_M=0.14 R_F=0.95 Ddef=0.036 turn=0.038 valid=0.97 | T1T2T3T4T5 PASS
seed 8   dur=160  size  72->63  disp=  8.2R R_M=0.40 R_F=0.96 Ddef=0.019 turn=0.009 valid=1.00 | T1T2T3T4T5 PASS
seed 9   dur=160  size  89->85  disp=  3.9R R_M=0.93 R_F=0.98 Ddef=0.013 turn=0.001 valid=1.00 | T1T2T4T5 
seed 10  dur=160  size  98->112 disp=  4.3R R_M=0.91 R_F=0.96 Ddef=0.014 turn=0.010 valid=1.00 | T1T2T4T5 
seed 11  dur=160  size  89->77  disp=  4.2R R_M=0.75 R_F=0.96 Ddef=0.015 turn=0.014 valid=1.00 | T1T2T4T5 
seed 12  dur=160  size  81->105 disp=  6.7R R_M=0.25 R_F=0.93 Ddef=0.023 turn=0.021 valid=0.99 | T1T2T3T4T5 PASS
seed 13  dur=160  size  98->162 disp=  4.5R R_M=1.00 R_F=0.98 Ddef=0.010 turn=0.008 valid=1.00 | T1T2T4T5 
seed 14  dur=160  size  75->76  disp=  3.8R R_M=0.80 R_F=0.96 Ddef=0.035 turn=0.009 valid=1.00 | T1T2T4T5 
seed 15  dur=160  size 149->137 disp=  4.5R R_M=0.84 R_F=0.97 Ddef=0.016 turn=0.009 valid=0.93 | T1T2T4T5 
seed 16  dur=160  size  81->80  disp=  3.7R R_M=0.98 R_F=0.94 Ddef=0.025 turn=0.001 valid=0.93 | T1T2T4T5 
seed 17  dur=160  size  93->89  disp=  4.1R R_M=0.70 R_F=0.95 Ddef=0.027 turn=0.012 valid=0.97 | T1T2T3T4T5 PASS
seed 18  dur=160  size  85->138 disp=  6.6R R_M=0.69 R_F=0.98 Ddef=0.018 turn=0.006 valid=0.99 | T1T2T3T4T5 PASS
seed 19  dur=160  size  88->99  disp=  4.4R R_M=0.93 R_F=0.98 Ddef=0.011 turn=0.005 valid=0.99 | T1T2T4T5 
seed 20  dur=160  size 107->136 disp=  4.8R R_M=0.99 R_F=0.98 Ddef=0.012 turn=0.018 valid=1.00 | T1T2T4T5 
seed 21  dur=160  size  91->101 disp=  3.2R R_M=0.63 R_F=0.92 Ddef=0.032 turn=0.017 valid=0.92 | T1T2T3T4T5 PASS
seed 22  dur=160  size  69->94  disp=  3.2R R_M=0.83 R_F=0.97 Ddef=0.021 turn=0.008 valid=1.00 | T1T2T4T5 
seed 23  dur=160  size  94->79  disp=  3.7R R_M=0.80 R_F=0.97 Ddef=0.020 turn=0.005 valid=1.00 | T1T2T4T5 
seed 24  dur=160  size  94->82  disp=  3.6R R_M=0.82 R_F=0.97 Ddef=0.023 turn=0.002 valid=0.97 | T1T2T4T5 
seed 25  dur=98   size 104->84  disp=  0.9R R_M=0.60 R_F=0.97 Ddef=0.011 turn=0.011 valid=1.00 | T1T3T4T5 
seed 26  dur=160  size  94->87  disp=  5.1R R_M=0.68 R_F=0.94 Ddef=0.027 turn=0.009 valid=0.99 | T1T2T3T4T5 PASS
seed 27  dur=160  size 113->106 disp=  4.2R R_M=0.91 R_F=0.98 Ddef=0.013 turn=0.000 valid=0.97 | T1T2T4T5 
seed 28  dur=160  size  88->67  disp=  3.9R R_M=0.43 R_F=0.95 Ddef=0.025 turn=0.011 valid=0.97 | T1T2T3T4T5 PASS
seed 29  dur=160  size 119->108 disp=  3.9R R_M=0.78 R_F=0.96 Ddef=0.019 turn=0.007 valid=0.97 | T1T2T4T5 
seed 30  dur=160  size  77->71  disp=  4.3R R_M=0.44 R_F=0.94 Ddef=0.036 turn=0.009 valid=0.93 | T1T2T3T4T5 PASS
seed 31  dur=160  size  86->55  disp=  3.8R R_M=0.52 R_F=0.95 Ddef=0.023 turn=0.006 valid=1.00 | T1T2T3T4T5 PASS
seed 32  dur=160  size  91->77  disp=  4.5R R_M=0.49 R_F=0.96 Ddef=0.022 turn=0.012 valid=0.99 | T1T2T3T4T5 PASS
seed 33  dur=160  size  83->155 disp=  2.9R R_M=0.39 R_F=0.94 Ddef=0.025 turn=0.013 valid=0.99 | T1T3T4T5 
seed 34  dur=160  size  80->96  disp=  4.5R R_M=0.57 R_F=0.98 Ddef=0.015 turn=0.010 valid=1.00 | T1T2T3T4T5 PASS
seed 35  dur=160  size 124->86  disp=  1.9R R_M=0.18 R_F=0.96 Ddef=0.027 turn=0.011 valid=0.98 | T1T3T4T5 
seed 36  dur=160  size  78->90  disp=  4.7R R_M=0.35 R_F=0.96 Ddef=0.033 turn=0.017 valid=0.97 | T1T2T3T4T5 PASS
seed 37  dur=160  size  74->123 disp=  4.3R R_M=0.95 R_F=0.97 Ddef=0.019 turn=0.013 valid=0.99 | T1T2T4T5 
seed 38  dur=50   size  90->29  disp=  1.1R R_M=0.31 R_F=0.85 Ddef=0.061 turn=0.006 valid=0.80 | T1T3T4 
seed 39  dur=160  size  88->82  disp=  4.0R R_M=0.93 R_F=0.99 Ddef=0.011 turn=0.002 valid=1.00 | T1T2T4T5 

pass rate 0.40  gate_passes=True
per-criterion rates: {'T1': 1.0, 'T2': 0.9, 'T3': 0.5, 'T4': 1.0, 'T5': 0.95}
