seed 0   dur=160  size  48->62  disp=  4.1R R_M=0.54 R_F=0.86 Ddef=0.092 turn=0.035 valid=0.64 | T1T2T3T4 
seed 1   dur=60   size  46->12  disp= 11.7R R_M=0.00 R_F=0.58 Ddef=0.233 turn=0.115 valid=0.37 | T1T2T3 
seed 2   dur=160  size  48->88  disp=  5.4R R_M=0.52 R_F=0.89 Ddef=0.071 turn=0.021 valid=0.65 | T1T2T3T4 
seed 3   dur=160  size  55->86  disp=  8.1R R_M=0.29 R_F=0.75 Ddef=0.129 turn=0.060 valid=0.34 | T1T2T3T4 
seed 4   dur=120  size  53->25  disp= 10.7R R_M=0.04 R_F=0.62 Ddef=0.237 turn=0.095 valid=0.35 | T1T2T3 
seed 5   dur=55   size  79->21  disp=  3.0R R_M=0.18 R_F=0.56 Ddef=0.241 turn=0.105 valid=0.15 | T1T3 
seed 6   dur=160  size  75->114 disp= 16.1R R_M=0.15 R_F=0.83 Ddef=0.090 turn=0.044 valid=0.71 | T1T2T3T4 
seed 7   dur=5    size  51->34  disp=  6.6R R_M=0.27 R_F=0.42 Ddef=0.277 turn=0.251 valid=0.20 | T2T3 
seed 8   dur=20   size  76->28  disp=  9.9R R_M=0.01 R_F=0.49 Ddef=0.241 turn=0.137 valid=0.35 | T2T3 
seed 9   dur=83   size  53->25  disp=  7.2R R_M=0.09 R_F=0.54 Ddef=0.255 turn=0.086 valid=0.06 | T1T2T3 
seed 10  dur=160  size  55->51  disp= 13.2R R_M=0.40 R_F=0.82 Ddef=0.107 turn=0.033 valid=0.48 | T1T2T3T4 
seed 11  dur=21   size  55->27  disp=  4.3R R_M=0.38 R_F=0.64 Ddef=0.212 turn=0.136 valid=0.86 | T2T3 
seed 12  dur=41   size  56->98  disp= 13.1R R_M=0.48 R_F=0.53 Ddef=0.240 turn=0.139 valid=0.07 | T1T2T3 
seed 13  dur=160  size  54->143 disp= 10.9R R_M=0.59 R_F=0.85 Ddef=0.096 turn=0.044 valid=0.66 | T1T2T3T4 
seed 14  dur=160  size  49->72  disp=  5.8R R_M=0.49 R_F=0.84 Ddef=0.096 turn=0.035 valid=0.75 | T1T2T3T4 
seed 15  dur=6    size  51->38  disp=  0.4R R_M=0.73 R_F=0.54 Ddef=0.230 turn=0.100 valid=0.50 |  
